s(m), v_par(m/s), v_perp(m/s)
0, 1.53505e+06, 5.72888e+06
15350.2, 1.53497e+06, 5.72905e+06
30698.8, 1.53473e+06, 5.72923e+06
46044, 1.5343e+06, 5.7294e+06
61384.1, 1.53371e+06, 5.72958e+06
76717.4, 1.53293e+06, 5.72975e+06
92042, 1.53198e+06, 5.72993e+06
107356, 1.53086e+06, 5.7301e+06
122659, 1.52956e+06, 5.73046e+06
137947, 1.52809e+06, 5.73098e+06
153220, 1.52645e+06, 5.73151e+06
168475, 1.52463e+06, 5.73203e+06
183711, 1.52263e+06, 5.73255e+06
198927, 1.52046e+06, 5.73307e+06
214120, 1.51812e+06, 5.73359e+06
229289, 1.51561e+06, 5.73411e+06
244431, 1.51292e+06, 5.73497e+06
259546, 1.51006e+06, 5.73583e+06
274632, 1.50703e+06, 5.73669e+06
289686, 1.50382e+06, 5.73755e+06
304708, 1.50045e+06, 5.73841e+06
319695, 1.4969e+06, 5.73926e+06
334645, 1.49318e+06, 5.74012e+06
349557, 1.48929e+06, 5.74109e+06
364430, 1.48524e+06, 5.74227e+06
379261, 1.48101e+06, 5.74346e+06
394050, 1.47661e+06, 5.74464e+06
408793, 1.47205e+06, 5.74581e+06
423490, 1.46731e+06, 5.74698e+06
438139, 1.46241e+06, 5.74815e+06
452737, 1.45735e+06, 5.74931e+06
467285, 1.45211e+06, 5.75066e+06
481779, 1.44671e+06, 5.75215e+06
496218, 1.44115e+06, 5.75363e+06
510601, 1.43542e+06, 5.7551e+06
524926, 1.42953e+06, 5.75656e+06
539191, 1.42347e+06, 5.75802e+06
553395, 1.41725e+06, 5.75948e+06
567536, 1.41087e+06, 5.76092e+06
581612, 1.40433e+06, 5.76254e+06
595622, 1.39763e+06, 5.76429e+06
609564, 1.39077e+06, 5.76603e+06
623436, 1.38375e+06, 5.76776e+06
637238, 1.37657e+06, 5.76948e+06
650967, 1.36924e+06, 5.7712e+06
664622, 1.36175e+06, 5.7729e+06
678201, 1.3541e+06, 5.77459e+06
691704, 1.3463e+06, 5.77635e+06
705127, 1.33835e+06, 5.77833e+06
718470, 1.33024e+06, 5.78029e+06
731731, 1.32198e+06, 5.78224e+06
744909, 1.31357e+06, 5.78418e+06
758002, 1.30501e+06, 5.78611e+06
771009, 1.2963e+06, 5.78802e+06
783927, 1.28745e+06, 5.78992e+06
796757, 1.27844e+06, 5.7918e+06
809496, 1.2693e+06, 5.79382e+06
822142, 1.26e+06, 5.79596e+06
834695, 1.25056e+06, 5.79808e+06
847153, 1.24098e+06, 5.80019e+06
859514, 1.23126e+06, 5.80228e+06
871777, 1.2214e+06, 5.80436e+06
883941, 1.21139e+06, 5.80642e+06
896005, 1.20125e+06, 5.80845e+06
907966, 1.19098e+06, 5.81047e+06
919824, 1.18056e+06, 5.81252e+06
931577, 1.17001e+06, 5.81477e+06
943223, 1.15933e+06, 5.817e+06
954763, 1.14852e+06, 5.81921e+06
966193, 1.13757e+06, 5.82139e+06
977514, 1.1265e+06, 5.82355e+06
988723, 1.11529e+06, 5.82569e+06
999819, 1.10396e+06, 5.82781e+06
1.0108e+06, 1.0925e+06, 5.82991e+06
1.02167e+06, 1.08092e+06, 5.83198e+06
1.03242e+06, 1.06922e+06, 5.83403e+06
1.04305e+06, 1.05739e+06, 5.83629e+06
1.05357e+06, 1.04544e+06, 5.83853e+06
1.06396e+06, 1.03337e+06, 5.84075e+06
1.07423e+06, 1.02119e+06, 5.84293e+06
1.08438e+06, 1.00888e+06, 5.84509e+06
1.09441e+06, 996467, 5.84722e+06
1.10431e+06, 983936, 5.84933e+06
1.11409e+06, 971292, 5.85141e+06
1.12374e+06, 958538, 5.85346e+06
1.13326e+06, 945674, 5.85548e+06
1.14265e+06, 932702, 5.85747e+06
1.15191e+06, 919623, 5.85954e+06
1.16104e+06, 906440, 5.86168e+06
1.17004e+06, 893153, 5.86379e+06
1.17891e+06, 879764, 5.86587e+06
1.18764e+06, 866274, 5.86791e+06
1.19623e+06, 852686, 5.86993e+06
1.20469e+06, 839000, 5.87191e+06
1.21301e+06, 825218, 5.87385e+06
1.22119e+06, 811342, 5.87577e+06
1.22924e+06, 797373, 5.87765e+06
1.23714e+06, 783314, 5.8795e+06
1.2449e+06, 769164, 5.88131e+06
1.25252e+06, 754927, 5.88309e+06
1.26e+06, 740604, 5.88484e+06
1.26734e+06, 726196, 5.88667e+06
1.27452e+06, 711705, 5.8885e+06
1.28157e+06, 697133, 5.8903e+06
1.28847e+06, 682481, 5.89207e+06
1.29522e+06, 667751, 5.89379e+06
1.30182e+06, 652945, 5.89548e+06
1.30828e+06, 638064, 5.89712e+06
