s(m), v_par(m/s), v_perp(m/s)
0, 1.62426e+07, 9.37769e+06
162418, 1.62406e+07, 9.38251e+06
324791, 1.62335e+07, 9.39516e+06
487068, 1.62215e+07, 9.41666e+06
649201, 1.62046e+07, 9.4466e+06
811139, 1.61827e+07, 9.48444e+06
972833, 1.61558e+07, 9.5312e+06
1.13423e+06, 1.6124e+07, 9.58526e+06
1.29529e+06, 1.60873e+07, 9.64767e+06
1.45596e+06, 1.60457e+07, 9.71745e+06
1.61619e+06, 1.59991e+07, 9.79429e+06
1.77592e+06, 1.59477e+07, 9.87882e+06
1.93512e+06, 1.58914e+07, 9.96952e+06
2.09373e+06, 1.58302e+07, 1.00671e+07
2.2517e+06, 1.57642e+07, 1.01709e+07
2.40899e+06, 1.56934e+07, 1.028e+07
2.56555e+06, 1.56177e+07, 1.03956e+07
2.72133e+06, 1.55373e+07, 1.05159e+07
2.87628e+06, 1.54522e+07, 1.0641e+07
3.03035e+06, 1.53623e+07, 1.07712e+07
3.18351e+06, 1.52677e+07, 1.09053e+07
3.33569e+06, 1.51685e+07, 1.10432e+07
3.48686e+06, 1.50646e+07, 1.11854e+07
3.63696e+06, 1.49561e+07, 1.13305e+07
3.78596e+06, 1.48431e+07, 1.14783e+07
3.9338e+06, 1.47254e+07, 1.16296e+07
4.08045e+06, 1.46033e+07, 1.17831e+07
4.22585e+06, 1.44768e+07, 1.19386e+07
4.36997e+06, 1.43458e+07, 1.2096e+07
4.51275e+06, 1.42104e+07, 1.22554e+07
4.65416e+06, 1.40706e+07, 1.24161e+07
4.79414e+06, 1.39266e+07, 1.25777e+07
4.93267e+06, 1.37783e+07, 1.27401e+07
5.06969e+06, 1.36258e+07, 1.29037e+07
5.20517e+06, 1.34691e+07, 1.30676e+07
5.33906e+06, 1.33083e+07, 1.32317e+07
5.47132e+06, 1.31434e+07, 1.33958e+07
5.60191e+06, 1.29745e+07, 1.35597e+07
5.73079e+06, 1.28016e+07, 1.37232e+07
5.85792e+06, 1.26248e+07, 1.38863e+07
5.98327e+06, 1.24442e+07, 1.40488e+07
6.10679e+06, 1.22597e+07, 1.42104e+07
6.22845e+06, 1.20715e+07, 1.43709e+07
6.34821e+06, 1.18796e+07, 1.45302e+07
6.46603e+06, 1.16841e+07, 1.46882e+07
6.58187e+06, 1.1485e+07, 1.48446e+07
6.69571e+06, 1.12823e+07, 1.49994e+07
6.80751e+06, 1.10762e+07, 1.51524e+07
6.91722e+06, 1.08668e+07, 1.53035e+07
7.02483e+06, 1.0654e+07, 1.54526e+07
7.13029e+06, 1.04379e+07, 1.55995e+07
7.23357e+06, 1.02186e+07, 1.5744e+07
7.33465e+06, 9.99625e+06, 1.58863e+07
7.43348e+06, 9.7708e+06, 1.60263e+07
7.53005e+06, 9.54236e+06, 1.61636e+07
7.62432e+06, 9.311e+06, 1.62981e+07
7.71626e+06, 9.07678e+06, 1.64297e+07
7.80584e+06, 8.83978e+06, 1.65584e+07
7.89304e+06, 8.60008e+06, 1.66844e+07
7.97783e+06, 8.35774e+06, 1.68073e+07
8.06019e+06, 8.11284e+06, 1.69269e+07
8.14008e+06, 7.86545e+06, 1.70432e+07
8.21749e+06, 7.61566e+06, 1.71566e+07
8.29238e+06, 7.36353e+06, 1.72664e+07
8.36475e+06, 7.10914e+06, 1.73726e+07
8.43456e+06, 6.85257e+06, 1.74756e+07
8.50179e+06, 6.59391e+06, 1.75748e+07
8.56643e+06, 6.33322e+06, 1.76706e+07
8.62845e+06, 6.07058e+06, 1.77625e+07
8.68783e+06, 5.80609e+06, 1.78508e+07
8.74456e+06, 5.53981e+06, 1.79352e+07
8.79862e+06, 5.27184e+06, 1.80159e+07
8.84999e+06, 5.00225e+06, 1.80925e+07
