s(m), v_par(m/s), v_perp(m/s)
0, 1.32621e+06, 1.32621e+06
13262, 1.3262e+06, 1.32624e+06
26524, 1.32619e+06, 1.32628e+06
39785.8, 1.32617e+06, 1.32631e+06
53047.4, 1.32614e+06, 1.32635e+06
66308.6, 1.32611e+06, 1.32638e+06
79569.5, 1.32606e+06, 1.32642e+06
92829.9, 1.32601e+06, 1.32645e+06
106090, 1.32595e+06, 1.32649e+06
119349, 1.32588e+06, 1.32655e+06
132607, 1.32581e+06, 1.32665e+06
145865, 1.32572e+06, 1.32676e+06
159122, 1.32563e+06, 1.32686e+06
172378, 1.32553e+06, 1.32697e+06
185632, 1.32542e+06, 1.32707e+06
198886, 1.3253e+06, 1.32718e+06
212138, 1.32518e+06, 1.32728e+06
225389, 1.32505e+06, 1.32739e+06
238639, 1.3249e+06, 1.32754e+06
251887, 1.32475e+06, 1.32771e+06
265134, 1.3246e+06, 1.32789e+06
278379, 1.32443e+06, 1.32806e+06
291623, 1.32426e+06, 1.32824e+06
304865, 1.32408e+06, 1.32841e+06
318104, 1.32389e+06, 1.32859e+06
331342, 1.32369e+06, 1.32876e+06
344578, 1.32348e+06, 1.32894e+06
357812, 1.32327e+06, 1.32918e+06
371043, 1.32305e+06, 1.32943e+06
384273, 1.32282e+06, 1.32967e+06
397500, 1.32258e+06, 1.32992e+06
410724, 1.32233e+06, 1.33016e+06
423946, 1.32208e+06, 1.33041e+06
437166, 1.32182e+06, 1.33065e+06
450383, 1.32154e+06, 1.33089e+06
463597, 1.32127e+06, 1.33116e+06
476808, 1.32098e+06, 1.33147e+06
490016, 1.32068e+06, 1.33179e+06
503222, 1.32038e+06, 1.3321e+06
516424, 1.32007e+06, 1.33241e+06
529623, 1.31975e+06, 1.33273e+06
542819, 1.31942e+06, 1.33304e+06
556011, 1.31909e+06, 1.33335e+06
569201, 1.31875e+06, 1.33366e+06
582386, 1.31839e+06, 1.33402e+06
595568, 1.31804e+06, 1.3344e+06
608747, 1.31767e+06, 1.33478e+06
621922, 1.31729e+06, 1.33516e+06
635093, 1.31691e+06, 1.33554e+06
648260, 1.31652e+06, 1.33592e+06
661423, 1.31612e+06, 1.3363e+06
674582, 1.31571e+06, 1.33668e+06
687737, 1.31529e+06, 1.33706e+06
700888, 1.31487e+06, 1.33751e+06
714035, 1.31444e+06, 1.33796e+06
727177, 1.314e+06, 1.3384e+06
740315, 1.31355e+06, 1.33885e+06
753448, 1.3131e+06, 1.3393e+06
766576, 1.31263e+06, 1.33975e+06
779700, 1.31216e+06, 1.34019e+06
792820, 1.31168e+06, 1.34064e+06
805934, 1.31119e+06, 1.3411e+06
819043, 1.3107e+06, 1.34161e+06
832148, 1.31019e+06, 1.34213e+06
845247, 1.30968e+06, 1.34264e+06
858341, 1.30916e+06, 1.34315e+06
871430, 1.30863e+06, 1.34367e+06
884514, 1.3081e+06, 1.34418e+06
897592, 1.30755e+06, 1.34469e+06
910665, 1.307e+06, 1.3452e+06
923732, 1.30644e+06, 1.34574e+06
936794, 1.30587e+06, 1.34632e+06
949850, 1.30529e+06, 1.3469e+06
962900, 1.30471e+06, 1.34748e+06
975944, 1.30412e+06, 1.34805e+06
988982, 1.30352e+06, 1.34863e+06
1.00201e+06, 1.30291e+06, 1.34921e+06
1.01504e+06, 1.3023e+06, 1.34978e+06
1.02806e+06, 1.30167e+06, 1.35036e+06
1.04107e+06, 1.30104e+06, 1.35097e+06
1.05408e+06, 1.3004e+06, 1.35162e+06
1.06708e+06, 1.29975e+06, 1.35226e+06
1.08008e+06, 1.2991e+06, 1.3529e+06
1.09306e+06, 1.29843e+06, 1.35354e+06
1.10604e+06, 1.29776e+06, 1.35417e+06
1.11902e+06, 1.29708e+06, 1.35481e+06
1.13199e+06, 1.29639e+06, 1.35545e+06
1.14495e+06, 1.2957e+06, 1.35609e+06
1.1579e+06, 1.295e+06, 1.35678e+06
1.17085e+06, 1.29429e+06, 1.35748e+06
1.18379e+06, 1.29357e+06, 1.35818e+06
1.19672e+06, 1.29284e+06, 1.35888e+06
1.20964e+06, 1.2921e+06, 1.35958e+06
1.22256e+06, 1.29136e+06, 1.36028e+06
1.23547e+06, 1.29061e+06, 1.36098e+06
1.24837e+06, 1.28985e+06, 1.36168e+06
1.26127e+06, 1.28909e+06, 1.36238e+06
1.27415e+06, 1.28831e+06, 1.36314e+06
1.28703e+06, 1.28753e+06, 1.3639e+06
1.2999e+06, 1.28674e+06, 1.36466e+06
1.31277e+06, 1.28594e+06, 1.36542e+06
1.32562e+06, 1.28514e+06, 1.36618e+06
1.33847e+06, 1.28432e+06, 1.36694e+06
1.35131e+06, 1.2835e+06, 1.36769e+06
1.36414e+06, 1.28267e+06, 1.36845e+06
1.37696e+06, 1.28183e+06, 1.36921e+06
1.38978e+06, 1.28099e+06, 1.37003e+06
1.40258e+06, 1.28014e+06, 1.37085e+06
1.41538e+06, 1.27928e+06, 1.37166e+06
1.42817e+06, 1.27841e+06, 1.37248e+06
1.44095e+06, 1.27753e+06, 1.3733e+06
1.45372e+06, 1.27665e+06, 1.37411e+06
1.46648e+06, 1.27575e+06, 1.37493e+06
1.47923e+06, 1.27486e+06, 1.37574e+06
1.49198e+06, 1.27395e+06, 1.37655e+06
1.50471e+06, 1.27303e+06, 1.37743e+06
1.51744e+06, 1.27211e+06, 1.3783e+06
1.53015e+06, 1.27118e+06, 1.37918e+06
1.54286e+06, 1.27024e+06, 1.38005e+06
1.55556e+06, 1.26929e+06, 1.38092e+06
1.56825e+06, 1.26834e+06, 1.38179e+06
1.58093e+06, 1.26738e+06, 1.38266e+06
1.5936e+06, 1.26641e+06, 1.38353e+06
1.60625e+06, 1.26543e+06, 1.38439e+06
1.6189e+06, 1.26445e+06, 1.38532e+06
1.63154e+06, 1.26345e+06, 1.38625e+06
