s(m), v_par(m/s), v_perp(m/s)
0, 153505, 572888
1535.05, 153505, 572889
3070.09, 153504, 572891
4605.14, 153504, 572893
6140.17, 153503, 572895
7675.2, 153503, 572896
9210.23, 153502, 572898
10745.2, 153501, 572900
12280.2, 153499, 572902
13815.2, 153498, 572903
15350.2, 153496, 572905
16885.1, 153494, 572907
18420.1, 153492, 572909
19955, 153490, 572910
21489.9, 153488, 572912
23024.7, 153485, 572914
24559.6, 153483, 572916
26094.4, 153480, 572918
27629.2, 153477, 572919
29163.9, 153473, 572921
30698.7, 153470, 572923
32233.3, 153466, 572925
33768, 153463, 572926
35302.6, 153459, 572928
36837.2, 153455, 572930
38371.7, 153450, 572932
39906.2, 153446, 572933
41440.6, 153441, 572935
42975, 153437, 572937
44509.3, 153432, 572939
46043.6, 153426, 572940
47577.9, 153421, 572942
49112, 153416, 572944
50646.2, 153410, 572946
52180.2, 153404, 572947
53714.3, 153398, 572949
55248.2, 153392, 572951
56782.1, 153385, 572953
58315.9, 153379, 572954
59849.7, 153372, 572956
61383.4, 153365, 572958
62917, 153358, 572960
64450.5, 153351, 572961
65984, 153344, 572963
67517.4, 153336, 572965
69050.7, 153328, 572967
70584, 153320, 572968
72117.1, 153312, 572970
73650.2, 153304, 572972
75183.2, 153295, 572974
76716.1, 153287, 572975
78248.9, 153278, 572977
79781.7, 153269, 572979
81314.3, 153260, 572981
82846.9, 153250, 572982
84379.3, 153241, 572984
85911.7, 153231, 572986
87443.9, 153221, 572988
88976.1, 153211, 572989
90508.2, 153201, 572991
92040.1, 153191, 572993
93572, 153180, 572995
95103.7, 153169, 572996
96635.3, 153158, 572998
98166.9, 153147, 573000
99698.3, 153136, 573002
101230, 153125, 573003
102761, 153113, 573005
104292, 153101, 573007
105823, 153089, 573009
107354, 153077, 573010
108884, 153065, 573012
110415, 153052, 573014
111945, 153040, 573016
113476, 153027, 573017
115006, 153014, 573020
116536, 153000, 573025
118066, 152987, 573030
119596, 152974, 573035
121125, 152960, 573041
122655, 152946, 573046
124184, 152932, 573051
125714, 152918, 573056
127243, 152903, 573062
128772, 152889, 573067
130300, 152874, 573072
131829, 152859, 573077
133358, 152844, 573083
134886, 152829, 573088
136414, 152813, 573093
137942, 152797, 573098
139470, 152782, 573103
140998, 152766, 573109
142525, 152750, 573114
144053, 152733, 573119
145580, 152717, 573124
147107, 152700, 573130
148634, 152683, 573135
150161, 152666, 573140
151687, 152649, 573145
153214, 152632, 573151
154740, 152614, 573156
156266, 152596, 573161
157792, 152578, 573166
159318, 152560, 573171
160843, 152542, 573177
162369, 152524, 573182
163894, 152505, 573187
165419, 152486, 573192
166943, 152467, 573198
168468, 152448, 573203
169992, 152429, 573208
171517, 152409, 573213
173041, 152390, 573218
174564, 152370, 573224
176088, 152350, 573229
177611, 152330, 573234
179135, 152310, 573239
