s(m), v_par(m/s), v_perp(m/s)
0, 937769, 1.62426e+06
9377.67, 937765, 1.62429e+06
18755.3, 937753, 1.62432e+06
28132.7, 937732, 1.62435e+06
37509.9, 937703, 1.62438e+06
46886.7, 937665, 1.62441e+06
56263.1, 937618, 1.62445e+06
65639, 937563, 1.62448e+06
75014.4, 937499, 1.62451e+06
84389, 937427, 1.62454e+06
93762.9, 937346, 1.62457e+06
103136, 937256, 1.6246e+06
112508, 937158, 1.62463e+06
121879, 937051, 1.6247e+06
131249, 936936, 1.62479e+06
140618, 936812, 1.62489e+06
149985, 936680, 1.62498e+06
159351, 936539, 1.62507e+06
168716, 936389, 1.62516e+06
178079, 936231, 1.62525e+06
187440, 936064, 1.62534e+06
196800, 935888, 1.62543e+06
206158, 935704, 1.62552e+06
215514, 935512, 1.62561e+06
224868, 935310, 1.6257e+06
234220, 935101, 1.62583e+06
243570, 934882, 1.62598e+06
252918, 934655, 1.62613e+06
262263, 934420, 1.62628e+06
271606, 934176, 1.62643e+06
280947, 933923, 1.62658e+06
290285, 933662, 1.62673e+06
299620, 933392, 1.62688e+06
308953, 933114, 1.62703e+06
318282, 932827, 1.62718e+06
327609, 932532, 1.62734e+06
336933, 932228, 1.62749e+06
346254, 931915, 1.62765e+06
355571, 931594, 1.62786e+06
364886, 931265, 1.62807e+06
374196, 930926, 1.62828e+06
383504, 930580, 1.62849e+06
392808, 930225, 1.6287e+06
402108, 929861, 1.62891e+06
411405, 929489, 1.62912e+06
420698, 929108, 1.62933e+06
429987, 928718, 1.62954e+06
439273, 928321, 1.62975e+06
448554, 927914, 1.62996e+06
457831, 927499, 1.63017e+06
467104, 927076, 1.63043e+06
476372, 926644, 1.6307e+06
485637, 926204, 1.63097e+06
494896, 925755, 1.63124e+06
504152, 925298, 1.63151e+06
513402, 924832, 1.63178e+06
522648, 924358, 1.63205e+06
531889, 923875, 1.63231e+06
541126, 923384, 1.63258e+06
550357, 922884, 1.63285e+06
559583, 922376, 1.63312e+06
568804, 921859, 1.63338e+06
578020, 921334, 1.63368e+06
587231, 920800, 1.63401e+06
596436, 920258, 1.63433e+06
605636, 919708, 1.63466e+06
614831, 919149, 1.63498e+06
624019, 918582, 1.63531e+06
633202, 918006, 1.63563e+06
642379, 917422, 1.63596e+06
651551, 916829, 1.63628e+06
660716, 916228, 1.63661e+06
669875, 915619, 1.63693e+06
679028, 915001, 1.63725e+06
688175, 914375, 1.63758e+06
697316, 913741, 1.63796e+06
706450, 913098, 1.63834e+06
715578, 912447, 1.63872e+06
724699, 911787, 1.6391e+06
733813, 911119, 1.63948e+06
742921, 910443, 1.63986e+06
752022, 909758, 1.64024e+06
761116, 909065, 1.64062e+06
770203, 908363, 1.641e+06
779283, 907654, 1.64138e+06
788356, 906936, 1.64175e+06
797422, 906209, 1.64213e+06
806481, 905475, 1.64253e+06
815532, 904732, 1.64296e+06
824575, 903980, 1.6434e+06
833611, 903221, 1.64383e+06
842640, 902453, 1.64427e+06
851660, 901677, 1.6447e+06
860673, 900893, 1.64513e+06
869678, 900100, 1.64556e+06
878675, 899299, 1.64599e+06
887664, 898490, 1.64643e+06
896645, 897672, 1.64686e+06
905617, 896847, 1.64729e+06
914582, 896013, 1.64771e+06
923538, 895171, 1.64818e+06
932485, 894321, 1.64867e+06
941424, 893462, 1.64915e+06
950354, 892596, 1.64963e+06
959276, 891721, 1.65012e+06
968189, 890838, 1.6506e+06
977093, 889947, 1.65108e+06
985988, 889047, 1.65156e+06
994873, 888140, 1.65205e+06
1.00375e+06, 887224, 1.65253e+06
1.01262e+06, 886300, 1.65301e+06
1.02148e+06, 885368, 1.65348e+06
1.03033e+06, 884428, 1.65396e+06
1.03916e+06, 883480, 1.65448e+06
1.04799e+06, 882524, 1.65502e+06
1.05682e+06, 881560, 1.65555e+06
1.06563e+06, 880587, 1.65608e+06
1.07443e+06, 879607, 1.65661e+06
1.08322e+06, 878618, 1.65714e+06
1.092e+06, 877621, 1.65767e+06
1.10077e+06, 876617, 1.6582e+06
1.10953e+06, 875604, 1.65873e+06
1.11828e+06, 874583, 1.65926e+06
1.12702e+06, 873555, 1.65978e+06
1.13575e+06, 872518, 1.66031e+06
1.14447e+06, 871473, 1.66083e+06
1.15318e+06, 870420, 1.66139e+06
1.16188e+06, 869360, 1.66197e+06
1.17057e+06, 868291, 1.66255e+06
1.17925e+06, 867214, 1.66313e+06
1.18791e+06, 866129, 1.6637e+06
1.19657e+06, 865037, 1.66428e+06
1.20522e+06, 863936, 1.66485e+06
1.21385e+06, 862828, 1.66542e+06
1.22247e+06, 861712, 1.66599e+06
1.23108e+06, 860587, 1.66657e+06
1.23968e+06, 859455, 1.66714e+06
1.24827e+06, 858315, 1.6677e+06
1.25685e+06, 857167, 1.66827e+06
1.26542e+06, 856012, 1.66886e+06
1.27397e+06, 854848, 1.66948e+06
1.28251e+06, 853677, 1.6701e+06
1.29104e+06, 852497, 1.67072e+06
1.29956e+06, 851310, 1.67133e+06
1.30807e+06, 850115, 1.67195e+06
1.31656e+06, 848913, 1.67256e+06
1.32505e+06, 847702, 1.67318e+06
1.33352e+06, 846484, 1.67379e+06
1.34198e+06, 845258, 1.6744e+06
1.35042e+06, 844024, 1.67501e+06
1.35886e+06, 842783, 1.67562e+06
1.36728e+06, 841533, 1.67623e+06
1.37569e+06, 840276, 1.67684e+06
1.38408e+06, 839012, 1.67749e+06
1.39247e+06, 837739, 1.67814e+06
1.40084e+06, 836459, 1.6788e+06
1.4092e+06, 835172, 1.67945e+06
1.41754e+06, 833876, 1.68011e+06
1.42588e+06, 832573, 1.68076e+06
1.43419e+06, 831263, 1.68141e+06
1.4425e+06, 829944, 1.68206e+06
1.45079e+06, 828618, 1.68271e+06
1.45907e+06, 827285, 1.68336e+06
1.46734e+06, 825944, 1.684e+06
1.47559e+06, 824595, 1.68465e+06
1.48383e+06, 823239, 1.68529e+06
1.49206e+06, 821875, 1.68593e+06
1.50027e+06, 820504, 1.68663e+06
1.50847e+06, 819125, 1.68732e+06
1.51665e+06, 817739, 1.688e+06
1.52482e+06, 816345, 1.68869e+06
1.53298e+06, 814944, 1.68938e+06
1.54112e+06, 813535, 1.69006e+06
1.54925e+06, 812119, 1.69074e+06
1.55736e+06, 810695, 1.69143e+06
1.56546e+06, 809264, 1.69211e+06
1.57355e+06, 807825, 1.69278e+06
1.58162e+06, 806379, 1.69346e+06
1.58968e+06, 804926, 1.69414e+06
1.59772e+06, 803465, 1.69481e+06
1.60574e+06, 801997, 1.69548e+06
1.61376e+06, 800522, 1.6962e+06
1.62175e+06, 799039, 1.69692e+06
1.62974e+06, 797549, 1.69764e+06
1.63771e+06, 796051, 1.69835e+06
1.64566e+06, 794546, 1.69907e+06
1.6536e+06, 793034, 1.69978e+06
1.66152e+06, 791515, 1.70049e+06
1.66943e+06, 789989, 1.7012e+06
1.67732e+06, 788455, 1.70191e+06
1.6852e+06, 786914, 1.70261e+06
1.69306e+06, 785365, 1.70332e+06
1.7009e+06, 783810, 1.70402e+06
1.70873e+06, 782247, 1.70472e+06
1.71655e+06, 780678, 1.70542e+06
1.72435e+06, 779101, 1.70614e+06
1.73213e+06, 777516, 1.70688e+06
1.7399e+06, 775925, 1.70762e+06
1.74765e+06, 774327, 1.70836e+06
1.75538e+06, 772721, 1.7091e+06
1.7631e+06, 771109, 1.70984e+06
1.77081e+06, 769489, 1.71057e+06
1.77849e+06, 767862, 1.71131e+06
1.78616e+06, 766229, 1.71204e+06
1.79382e+06, 764588, 1.71277e+06
1.80146e+06, 762940, 1.71349e+06
1.80908e+06, 761285, 1.71422e+06
1.81668e+06, 759624, 1.71494e+06
1.82427e+06, 757955, 1.71566e+06
1.83184e+06, 756279, 1.71638e+06
1.83939e+06, 754597, 1.71712e+06
1.84693e+06, 752907, 1.71788e+06
1.85445e+06, 751211, 1.71864e+06
1.86196e+06, 749507, 1.7194e+06
1.86944e+06, 747797, 1.72016e+06
1.87691e+06, 746080, 1.72091e+06
1.88436e+06, 744356, 1.72166e+06
1.8918e+06, 742625, 1.72241e+06
1.89922e+06, 740888, 1.72316e+06
1.90662e+06, 739144, 1.7239e+06
1.914e+06, 737392, 1.72465e+06
1.92136e+06, 735635, 1.72539e+06
1.92871e+06, 733870, 1.72613e+06
1.93604e+06, 732099, 1.72686e+06
1.94335e+06, 730321, 1.7276e+06
1.95065e+06, 728536, 1.72833e+06
1.95792e+06, 726744, 1.72911e+06
1.96518e+06, 724946, 1.72988e+06
1.97242e+06, 723141, 1.73065e+06
1.97965e+06, 721330, 1.73142e+06
1.98685e+06, 719512, 1.73219e+06
1.99404e+06, 717687, 1.73295e+06
2.0012e+06, 715856, 1.73371e+06
2.00835e+06, 714019, 1.73447e+06
2.01548e+06, 712174, 1.73523e+06
2.0226e+06, 710323, 1.73598e+06
2.02969e+06, 708466, 1.73673e+06
2.03677e+06, 706602, 1.73748e+06
2.04382e+06, 704732, 1.73823e+06
2.05086e+06, 702855, 1.73898e+06
2.05788e+06, 700972, 1.73972e+06
2.06488e+06, 699082, 1.74046e+06
2.07186e+06, 697186, 1.74124e+06
2.07882e+06, 695284, 1.74202e+06
2.08577e+06, 693375, 1.74279e+06
2.09269e+06, 691460, 1.74357e+06
2.0996e+06, 689538, 1.74434e+06
2.10648e+06, 687610, 1.7451e+06
2.11335e+06, 685676, 1.74587e+06
2.1202e+06, 683735, 1.74663e+06
