s(m), v_par(m/s), v_perp(m/s)
0, 419383, 419383
4193.83, 419383, 419386
8387.65, 419382, 419390
12581.5, 419382, 419393
16775.3, 419381, 419397
20969.1, 419380, 419400
25162.9, 419378, 419404
29356.7, 419377, 419407
33550.4, 419375, 419411
37744.2, 419373, 419414
41937.9, 419370, 419418
46131.6, 419368, 419421
50325.2, 419365, 419425
54518.9, 419362, 419428
58712.5, 419358, 419432
62906, 419354, 419435
67099.5, 419350, 419439
71293, 419346, 419443
75486.5, 419342, 419446
79679.9, 419337, 419450
83873.2, 419332, 419453
88066.5, 419327, 419457
92259.7, 419321, 419460
96452.9, 419316, 419464
100646, 419310, 419467
104839, 419303, 419471
109032, 419297, 419474
113225, 419290, 419478
117418, 419283, 419486
121611, 419276, 419496
125803, 419268, 419507
129996, 419260, 419517
134189, 419252, 419528
138381, 419244, 419538
142574, 419235, 419549
146766, 419227, 419559
150958, 419218, 419570
155150, 419208, 419580
159342, 419199, 419591
163534, 419189, 419601
167726, 419179, 419612
171918, 419168, 419622
176109, 419158, 419633
180301, 419147, 419643
184492, 419136, 419654
188684, 419124, 419664
192875, 419113, 419675
197066, 419101, 419685
201257, 419089, 419696
205448, 419076, 419706
209638, 419064, 419717
213829, 419051, 419727
218019, 419037, 419738
222210, 419024, 419748
226400, 419010, 419759
230590, 418996, 419771
234780, 418982, 419789
238969, 418968, 419806
243159, 418953, 419824
247349, 418938, 419841
251538, 418923, 419859
255727, 418907, 419876
259916, 418892, 419894
264105, 418876, 419911
268293, 418859, 419929
272482, 418843, 419946
276670, 418826, 419964
280859, 418809, 419981
285047, 418792, 419999
289234, 418774, 420016
293422, 418756, 420034
297609, 418738, 420051
301797, 418720, 420069
305984, 418702, 420086
310171, 418683, 420103
314358, 418664, 420121
318544, 418644, 420138
322730, 418625, 420156
326917, 418605, 420173
331103, 418585, 420191
335288, 418564, 420208
339474, 418544, 420226
343659, 418523, 420243
347844, 418502, 420267
352029, 418481, 420291
356214, 418459, 420316
360398, 418437, 420340
364583, 418415, 420365
368767, 418393, 420389
372950, 418370, 420413
377134, 418347, 420438
381317, 418324, 420462
385501, 418300, 420487
389683, 418277, 420511
393866, 418253, 420535
398048, 418229, 420560
402231, 418204, 420584
406413, 418179, 420609
410594, 418154, 420633
414776, 418129, 420658
418957, 418104, 420682
423138, 418078, 420706
427318, 418052, 420731
431499, 418026, 420755
435679, 417999, 420779
439859, 417973, 420804
444038, 417946, 420828
448218, 417918, 420853
452397, 417891, 420877
456575, 417863, 420901
460754, 417835, 420929
464932, 417807, 420960
469110, 417778, 420991
473288, 417750, 421023
477465, 417721, 421054
481642, 417691, 421085
485819, 417662, 421117
489995, 417632, 421148
494172, 417602, 421179
498347, 417572, 421211
502523, 417541, 421242
506698, 417510, 421273
510873, 417479, 421304
515048, 417448, 421336
519222, 417416, 421367
523396, 417384, 421398
527570, 417352, 421429
531743, 417320, 421461
535916, 417287, 421492
540089, 417254, 421523
544261, 417221, 421554
548433, 417188, 421586
552605, 417154, 421617
556776, 417120, 421648
560947, 417086, 421679
565118, 417052, 421711
569288, 417017, 421742
573458, 416982, 421773
577628, 416947, 421811
581797, 416912, 421849
585966, 416876, 421887
590135, 416840, 421925
594303, 416804, 421963
598471, 416767, 422001
602639, 416731, 422039
606806, 416694, 422078
610972, 416657, 422116
615139, 416619, 422154
619305, 416581, 422192
623470, 416543, 422230
627636, 416505, 422268
631800, 416467, 422306
635965, 416428, 422344
640129, 416389, 422382
644293, 416350, 422420
648456, 416310, 422458
652619, 416271, 422496
656781, 416231, 422534
660944, 416190, 422572
665105, 416150, 422610
669267, 416109, 422648
673427, 416068, 422686
677588, 416027, 422724
681748, 415985, 422762
685908, 415943, 422800
690067, 415901, 422841
694226, 415859, 422885
698384, 415817, 422930
702542, 415774, 422975
706700, 415731, 423020
710857, 415687, 423065
715013, 415644, 423109
719169, 415600, 423154
723325, 415556, 423199
727481, 415512, 423244
731635, 415467, 423289
735790, 415422, 423333
739944, 415377, 423378
744097, 415332, 423423
748251, 415286, 423467
752403, 415240, 423512
756555, 415194, 423557
760707, 415148, 423602
764858, 415101, 423646
769009, 415054, 423691
773159, 415007, 423736
777309, 414960, 423780
781459, 414912, 423825
785607, 414864, 423869
789756, 414816, 423914
793904, 414768, 423959
798051, 414719, 424003
802198, 414670, 424048
806345, 414621, 424098
810491, 414572, 424149
814636, 414522, 424201
818781, 414472, 424252
822926, 414422, 424303
827070, 414372, 424355
831213, 414321, 424406
835356, 414270, 424457
839498, 414219, 424509
843640, 414168, 424560
847782, 414116, 424611
851923, 414064, 424663
856063, 414012, 424714
860203, 413959, 424765
864342, 413907, 424816
868481, 413854, 424868
872619, 413800, 424919
876757, 413747, 424970
880894, 413693, 425021
885031, 413639, 425073
889167, 413585, 425124
893303, 413531, 425175
897438, 413476, 425226
901572, 413421, 425277
905706, 413366, 425328
909839, 413310, 425379
913972, 413255, 425431
918104, 413199, 425482
922236, 413142, 425540
926367, 413086, 425598
930498, 413029, 425656
934628, 412972, 425714
938757, 412915, 425771
942886, 412857, 425829
947015, 412800, 425887
951142, 412742, 425945
955269, 412683, 426002
959396, 412625, 426060
963522, 412566, 426118
967647, 412507, 426176
971772, 412448, 426233
975896, 412388, 426291
980020, 412329, 426349
984143, 412269, 426406
988265, 412208, 426464
992387, 412148, 426522
996508, 412087, 426579
1.00063e+06, 412026, 426637
1.00475e+06, 411965, 426694
1.00887e+06, 411903, 426752
1.01299e+06, 411842, 426809
1.0171e+06, 411780, 426867
1.02122e+06, 411717, 426924
1.02534e+06, 411655, 426982
1.02946e+06, 411592, 427039
1.03357e+06, 411529, 427098
1.03769e+06, 411466, 427163
1.0418e+06, 411402, 427227
1.04591e+06, 411338, 427291
1.05003e+06, 411274, 427355
1.05414e+06, 411210, 427419
1.05825e+06, 411145, 427483
1.06236e+06, 411081, 427547
1.06647e+06, 411016, 427611
1.07058e+06, 410950, 427675
1.07469e+06, 410885, 427739
1.0788e+06, 410819, 427803
1.08291e+06, 410753, 427867
1.08702e+06, 410687, 427931
1.09112e+06, 410620, 427995
1.09523e+06, 410553, 428059
1.09933e+06, 410486, 428123
1.10344e+06, 410419, 428187
1.10754e+06, 410351, 428251
1.11164e+06, 410283, 428315
1.11575e+06, 410215, 428379
1.11985e+06, 410147, 428442
1.12395e+06, 410079, 428506
1.12805e+06, 410010, 428570
1.13215e+06, 409941, 428634
1.13625e+06, 409871, 428697
1.14035e+06, 409802, 428761
1.14445e+06, 409732, 428825
1.14854e+06, 409662, 428890
1.15264e+06, 409592, 428961
1.15673e+06, 409521, 429031
1.16083e+06, 409450, 429101
1.16492e+06, 409379, 429171
1.16902e+06, 409308, 429242
1.17311e+06, 409236, 429312
1.1772e+06, 409164, 429382
1.18129e+06, 409092, 429452
1.18538e+06, 409020, 429522
1.18947e+06, 408947, 429593
1.19356e+06, 408875, 429663
1.19765e+06, 408802, 429733
1.20174e+06, 408728, 429803
1.20582e+06, 408655, 429873
1.20991e+06, 408581, 429943
1.214e+06, 408507, 430013
1.21808e+06, 408432, 430083
1.22217e+06, 408358, 430153
1.22625e+06, 408283, 430223
1.23033e+06, 408208, 430292
1.23441e+06, 408133, 430362
1.23849e+06, 408057, 430432
1.24257e+06, 407981, 430502
1.24665e+06, 407905, 430572
1.25073e+06, 407829, 430641
1.25481e+06, 407752, 430711
1.25889e+06, 407676, 430781
1.26296e+06, 407599, 430852
1.26704e+06, 407521, 430928
1.27111e+06, 407444, 431005
1.27519e+06, 407366, 431081
1.27926e+06, 407288, 431157
1.28333e+06, 407210, 431233
1.28741e+06, 407131, 431309
1.29148e+06, 407052, 431385
1.29555e+06, 406973, 431462
1.29962e+06, 406894, 431538
1.30368e+06, 406814, 431614
1.30775e+06, 406734, 431690
1.31182e+06, 406654, 431766
1.31588e+06, 406574, 431842
1.31995e+06, 406494, 431917
1.32401e+06, 406413, 431993
1.32808e+06, 406332, 432069
1.33214e+06, 406250, 432145
1.3362e+06, 406169, 432221
1.34026e+06, 406087, 432297
1.34433e+06, 406005, 432372
1.34838e+06, 405923, 432448
1.35244e+06, 405840, 432524
1.3565e+06, 405757, 432600
1.36056e+06, 405674, 432675
1.36462e+06, 405591, 432751
1.36867e+06, 405508, 432826
1.37273e+06, 405424, 432902
1.37678e+06, 405340, 432977
1.38083e+06, 405256, 433059
