s(m), v_par(m/s), v_perp(m/s)
0, 4.85425e+06, 1.81163e+07
48533.2, 4.85194e+06, 1.81181e+07
97015.8, 4.8441e+06, 1.81198e+07
145392, 4.83073e+06, 1.81238e+07
193607, 4.81185e+06, 1.8129e+07
241606, 4.78748e+06, 1.81351e+07
289334, 4.75765e+06, 1.81437e+07
336737, 4.72239e+06, 1.81522e+07
383760, 4.68174e+06, 1.81635e+07
430349, 4.63575e+06, 1.81753e+07
476453, 4.58446e+06, 1.81882e+07
522017, 4.52794e+06, 1.82029e+07
566990, 4.46625e+06, 1.82175e+07
611320, 4.39946e+06, 1.82345e+07
654958, 4.32764e+06, 1.82517e+07
697853, 4.25088e+06, 1.82693e+07
739955, 4.16927e+06, 1.82889e+07
781218, 4.08289e+06, 1.83081e+07
821594, 3.99185e+06, 1.83281e+07
861036, 3.89625e+06, 1.83492e+07
899500, 3.79619e+06, 1.83698e+07
936942, 3.69179e+06, 1.83912e+07
973319, 3.58318e+06, 1.84132e+07
1.00859e+06, 3.47046e+06, 1.84345e+07
1.04271e+06, 3.35378e+06, 1.84558e+07
1.07565e+06, 3.23326e+06, 1.84779e+07
1.10736e+06, 3.10904e+06, 1.84993e+07
1.13781e+06, 2.98126e+06, 1.85197e+07
1.16697e+06, 2.85007e+06, 1.85407e+07
1.1948e+06, 2.71562e+06, 1.85613e+07
1.22127e+06, 2.57805e+06, 1.85809e+07
1.24635e+06, 2.43753e+06, 1.85994e+07
1.27001e+06, 2.29422e+06, 1.86174e+07
1.29222e+06, 2.14828e+06, 1.86354e+07
1.31297e+06, 1.99988e+06, 1.86521e+07
1.33221e+06, 1.84918e+06, 1.86677e+07
1.34994e+06, 1.69635e+06, 1.86819e+07
1.36613e+06, 1.54158e+06, 1.8695e+07
1.38076e+06, 1.38503e+06, 1.8707e+07
1.39382e+06, 1.22689e+06, 1.87185e+07
1.4053e+06, 1.06733e+06, 1.87285e+07
1.41517e+06, 906547, 1.87371e+07
1.42342e+06, 744709, 1.87443e+07
1.43006e+06, 582007, 1.87501e+07
1.43506e+06, 418625, 1.87545e+07
1.43843e+06, 254750, 1.87574e+07
1.44015e+06, 90569.6, 1.87589e+07
1.44024e+06, -73730.2, 1.8759e+07
1.43868e+06, -237961, 1.87576e+07
1.43548e+06, -401937, 1.87548e+07
1.43064e+06, -565469, 1.87506e+07
1.42417e+06, -728373, 1.8745e+07
1.41608e+06, -890460, 1.87379e+07
1.40637e+06, -1.05155e+06, 1.87294e+07
1.39505e+06, -1.21145e+06, 1.87195e+07
1.38214e+06, -1.36999e+06, 1.87082e+07
1.36766e+06, -1.52698e+06, 1.86962e+07
1.35161e+06, -1.68224e+06, 1.86833e+07
1.33402e+06, -1.8356e+06, 1.86691e+07
1.31491e+06, -1.98688e+06, 1.86537e+07
1.29429e+06, -2.13591e+06, 1.86371e+07
1.2722e+06, -2.28251e+06, 1.86192e+07
1.24865e+06, -2.42653e+06, 1.86011e+07
1.22368e+06, -2.56779e+06, 1.85826e+07
1.19731e+06, -2.70614e+06, 1.85631e+07
1.16957e+06, -2.84141e+06, 1.85426e+07
1.1405e+06, -2.97345e+06, 1.85215e+07
1.11012e+06, -3.10212e+06, 1.85011e+07
1.07847e+06, -3.22726e+06, 1.84798e+07
1.04559e+06, -3.34873e+06, 1.84577e+07
1.01151e+06, -3.46639e+06, 1.84362e+07
976276, -3.58011e+06, 1.84149e+07
939925, -3.68976e+06, 1.8393e+07
902498, -3.79521e+06, 1.83714e+07
864038, -3.89634e+06, 1.83509e+07
824590, -3.99304e+06, 1.83297e+07
784197, -4.08519e+06, 1.83095e+07
742905, -4.17269e+06, 1.82903e+07
700763, -4.25544e+06, 1.82706e+07
657817, -4.33334e+06, 1.82528e+07
614116, -4.40631e+06, 1.82356e+07
569711, -4.47426e+06, 1.82183e+07
524652, -4.53711e+06, 1.82038e+07
478991, -4.59479e+06, 1.8189e+07
432778, -4.64724e+06, 1.81759e+07
386068, -4.69439e+06, 1.81641e+07
338913, -4.73619e+06, 1.81526e+07
291367, -4.7726e+06, 1.8144e+07
243484, -4.80356e+06, 1.81354e+07
195318, -4.82905e+06, 1.81292e+07
146926, -4.84903e+06, 1.81239e+07
98360.7, -4.86348e+06, 1.81199e+07
49679, -4.87239e+06, 1.81181e+07
936.078, -4.87574e+06, 1.81163e+07
-47812.6, -4.87353e+06, 1.8118e+07
-96511.3, -4.86576e+06, 1.81198e+07
-145105, -4.85244e+06, 1.81237e+07
-193537, -4.83358e+06, 1.8129e+07
-241753, -4.80921e+06, 1.81351e+07
-289698, -4.77935e+06, 1.81437e+07
-337318, -4.74404e+06, 1.81523e+07
-384557, -4.70331e+06, 1.81637e+07
-431362, -4.65722e+06, 1.81755e+07
-477679, -4.6058e+06, 1.81886e+07
-523456, -4.54913e+06, 1.82034e+07
-568640, -4.48727e+06, 1.8218e+07
-613180, -4.42028e+06, 1.82352e+07
-657024, -4.34824e+06, 1.82525e+07
