s(m), v_par(m/s), v_perp(m/s)
0, 485425, 1.81163e+06
4854.24, 485422, 1.81165e+06
9708.43, 485415, 1.81167e+06
14562.5, 485401, 1.81168e+06
19416.4, 485382, 1.8117e+06
24270.1, 485358, 1.81172e+06
29123.6, 485328, 1.81174e+06
33976.7, 485292, 1.81175e+06
38829.4, 485251, 1.81177e+06
43681.7, 485205, 1.81179e+06
48533.5, 485153, 1.81181e+06
53384.7, 485095, 1.81182e+06
58235.3, 485032, 1.81184e+06
63085.3, 484963, 1.81186e+06
67934.6, 484889, 1.81188e+06
72783.1, 484809, 1.81189e+06
77630.7, 484724, 1.81191e+06
82477.5, 484633, 1.81193e+06
87323.4, 484536, 1.81195e+06
92168.2, 484434, 1.81196e+06
97012, 484327, 1.81198e+06
101855, 484214, 1.812e+06
106696, 484096, 1.81202e+06
111537, 483971, 1.81203e+06
116376, 483842, 1.81206e+06
121213, 483707, 1.81211e+06
126050, 483566, 1.81217e+06
130885, 483420, 1.81222e+06
135718, 483269, 1.81227e+06
140550, 483112, 1.81232e+06
145380, 482949, 1.81238e+06
150209, 482781, 1.81243e+06
155036, 482607, 1.81248e+06
159861, 482428, 1.81253e+06
164685, 482243, 1.81259e+06
169506, 482053, 1.81264e+06
174326, 481858, 1.81269e+06
179143, 481656, 1.81274e+06
183959, 481450, 1.81279e+06
188772, 481238, 1.81285e+06
193583, 481020, 1.8129e+06
198392, 480797, 1.81295e+06
203199, 480568, 1.813e+06
208004, 480334, 1.81305e+06
212806, 480095, 1.81311e+06
217606, 479850, 1.81316e+06
222403, 479599, 1.81321e+06
227198, 479343, 1.81326e+06
231990, 479082, 1.81333e+06
236779, 478815, 1.81342e+06
241566, 478542, 1.81351e+06
246350, 478265, 1.81359e+06
251131, 477981, 1.81368e+06
255910, 477693, 1.81376e+06
260685, 477398, 1.81385e+06
265458, 477099, 1.81394e+06
270227, 476794, 1.81402e+06
274993, 476483, 1.81411e+06
279757, 476167, 1.81419e+06
284517, 475846, 1.81428e+06
289274, 475519, 1.81437e+06
294027, 475187, 1.81445e+06
298777, 474849, 1.81454e+06
303524, 474506, 1.81462e+06
308267, 474158, 1.81471e+06
313007, 473804, 1.81479e+06
317744, 473444, 1.81488e+06
322476, 473080, 1.81496e+06
327205, 472710, 1.81505e+06
331930, 472334, 1.81513e+06
336652, 471953, 1.81522e+06
341369, 471567, 1.81531e+06
346083, 471175, 1.8154e+06
350793, 470778, 1.81552e+06
355499, 470376, 1.81564e+06
360200, 469968, 1.81576e+06
364898, 469555, 1.81588e+06
369591, 469137, 1.816e+06
374281, 468713, 1.81611e+06
378966, 468284, 1.81623e+06
383646, 467849, 1.81635e+06
388323, 467409, 1.81647e+06
392994, 466964, 1.81659e+06
397662, 466513, 1.8167e+06
402325, 466058, 1.81682e+06
406983, 465596, 1.81694e+06
411637, 465130, 1.81706e+06
416286, 464658, 1.81717e+06
420930, 464181, 1.81729e+06
425569, 463699, 1.81741e+06
430204, 463211, 1.81752e+06
434833, 462718, 1.81764e+06
439458, 462220, 1.81776e+06
444078, 461716, 1.81787e+06
448692, 461208, 1.81799e+06
453302, 460694, 1.81811e+06
457906, 460174, 1.81822e+06
462505, 459650, 1.81836e+06
467099, 459120, 1.81851e+06
471688, 458585, 1.81866e+06
476271, 458045, 1.81881e+06
480849, 457499, 1.81896e+06
485421, 456949, 1.81911e+06
489988, 456393, 1.81925e+06
494549, 455832, 1.8194e+06
499104, 455265, 1.81955e+06
503654, 454694, 1.8197e+06
508198, 454117, 1.81984e+06
512736, 453535, 1.81999e+06
517269, 452948, 1.82014e+06
521795, 452356, 1.82028e+06
526316, 451759, 1.82043e+06
530830, 451156, 1.82058e+06
535339, 450549, 1.82072e+06
539841, 449936, 1.82087e+06
544338, 449318, 1.82101e+06
548828, 448695, 1.82116e+06
553311, 448067, 1.8213e+06
557789, 447433, 1.82145e+06
562260, 446795, 1.82159e+06
566725, 446151, 1.82174e+06
571183, 445503, 1.82188e+06
575635, 444849, 1.82204e+06
580080, 444190, 1.82221e+06
584519, 443527, 1.82239e+06
588951, 442858, 1.82257e+06
593376, 442184, 1.82274e+06
597794, 441505, 1.82291e+06
602206, 440821, 1.82309e+06
606611, 440132, 1.82326e+06
611008, 439438, 1.82344e+06
615399, 438739, 1.82361e+06
619783, 438035, 1.82378e+06
624160, 437325, 1.82396e+06
628530, 436611, 1.82413e+06
632892, 435892, 1.8243e+06
637248, 435168, 1.82447e+06
641596, 434439, 1.82464e+06
645936, 433705, 1.82481e+06
650270, 432967, 1.82499e+06
654596, 432223, 1.82516e+06
658914, 431474, 1.82533e+06
663225, 430720, 1.8255e+06
667529, 429962, 1.82567e+06
671824, 429198, 1.82584e+06
676112, 428430, 1.826e+06
680393, 427656, 1.82617e+06
684666, 426878, 1.82634e+06
688930, 426095, 1.82651e+06
693187, 425307, 1.82671e+06
697437, 424515, 1.82691e+06
701678, 423717, 1.82711e+06
705911, 422915, 1.8273e+06
710136, 422107, 1.8275e+06
714353, 421295, 1.8277e+06
718562, 420478, 1.82789e+06
722763, 419657, 1.82809e+06
726955, 418830, 1.82828e+06
731139, 417999, 1.82848e+06
735315, 417163, 1.82867e+06
739482, 416322, 1.82887e+06
743641, 415477, 1.82906e+06
747792, 414627, 1.82925e+06
751934, 413772, 1.82945e+06
756067, 412912, 1.82964e+06
760192, 412047, 1.82983e+06
764308, 411178, 1.83002e+06
768416, 410305, 1.83021e+06
772514, 409426, 1.8304e+06
776604, 408543, 1.83059e+06
780685, 407655, 1.83078e+06
784757, 406763, 1.83097e+06
788820, 405865, 1.83116e+06
792875, 404964, 1.83135e+06
796920, 404057, 1.83154e+06
800956, 403146, 1.83172e+06
804983, 402231, 1.83192e+06
809000, 401311, 1.83214e+06
813009, 400386, 1.83235e+06
817008, 399457, 1.83257e+06
820998, 398523, 1.83278e+06
824978, 397584, 1.83299e+06
828950, 396641, 1.83321e+06
832911, 395694, 1.83342e+06
836863, 394742, 1.83363e+06
840806, 393785, 1.83384e+06
844739, 392824, 1.83405e+06
848662, 391859, 1.83426e+06
852576, 390889, 1.83447e+06
856480, 389915, 1.83468e+06
860374, 388936, 1.83489e+06
864259, 387952, 1.8351e+06
868134, 386965, 1.8353e+06
871998, 385973, 1.83551e+06
875853, 384976, 1.83572e+06
879698, 383975, 1.83592e+06
883532, 382970, 1.83613e+06
887357, 381960, 1.83633e+06
891172, 380946, 1.83654e+06
894976, 379928, 1.83674e+06
898770, 378905, 1.83694e+06
902554, 377878, 1.83714e+06
906328, 376847, 1.83735e+06
910091, 375811, 1.83755e+06
913844, 374771, 1.83775e+06
917586, 373727, 1.83795e+06
921318, 372678, 1.83817e+06
925040, 371626, 1.8384e+06
928751, 370569, 1.83862e+06
