s(m), v_par(m/s), v_perp(m/s)
0, 513637, 296548
5136.37, 513637, 296552
10272.7, 513637, 296555
15409.1, 513636, 296558
20545.5, 513636, 296561
25681.8, 513635, 296564
30818.2, 513634, 296567
35954.5, 513633, 296570
41090.8, 513632, 296573
46227.1, 513631, 296576
51363.4, 513629, 296579
56499.7, 513628, 296582
61636, 513626, 296585
66772.3, 513624, 296588
71908.5, 513622, 296591
77044.7, 513620, 296594
82180.9, 513617, 296597
87317, 513615, 296600
92453.2, 513612, 296603
97589.3, 513609, 296606
102725, 513606, 296609
107861, 513603, 296612
112997, 513599, 296615
118133, 513596, 296622
123269, 513592, 296631
128405, 513588, 296641
133541, 513584, 296650
138677, 513580, 296659
143813, 513576, 296668
148948, 513571, 296677
154084, 513567, 296686
159220, 513562, 296695
164355, 513557, 296704
169491, 513552, 296713
174626, 513547, 296723
179762, 513541, 296732
184897, 513536, 296741
190033, 513530, 296750
195168, 513524, 296759
200303, 513518, 296768
205438, 513512, 296777
210573, 513506, 296786
215708, 513499, 296795
220843, 513492, 296804
225978, 513486, 296814
231113, 513479, 296825
236248, 513472, 296840
241382, 513464, 296855
246517, 513457, 296870
251652, 513449, 296885
256786, 513441, 296900
261920, 513434, 296916
267055, 513425, 296931
272189, 513417, 296946
277323, 513409, 296961
282457, 513400, 296976
287591, 513392, 296991
292725, 513383, 297007
297859, 513374, 297022
302992, 513365, 297037
308126, 513355, 297052
313259, 513346, 297067
318393, 513336, 297082
323526, 513326, 297097
328659, 513316, 297113
333793, 513306, 297128
338926, 513296, 297143
344058, 513286, 297158
349191, 513275, 297179
354324, 513264, 297200
359457, 513253, 297221
364589, 513242, 297243
369721, 513231, 297264
374854, 513220, 297285
379986, 513208, 297306
385118, 513197, 297327
390250, 513185, 297349
395381, 513173, 297370
400513, 513161, 297391
405645, 513148, 297412
410776, 513136, 297433
415907, 513123, 297454
421039, 513110, 297476
426170, 513097, 297497
431301, 513084, 297518
436431, 513071, 297539
441562, 513058, 297560
446692, 513044, 297581
451823, 513030, 297603
456953, 513017, 297624
462083, 513003, 297649
467213, 512988, 297676
472343, 512974, 297703
477473, 512959, 297730
482602, 512945, 297757
487731, 512930, 297785
492861, 512915, 297812
497990, 512900, 297839
503119, 512885, 297866
508247, 512869, 297893
513376, 512854, 297920
518505, 512838, 297948
523633, 512822, 297975
528761, 512806, 298002
533889, 512790, 298029
539017, 512773, 298056
544144, 512757, 298083
549272, 512740, 298111
554399, 512723, 298138
559526, 512706, 298165
564653, 512689, 298192
569780, 512672, 298219
574907, 512654, 298248
580033, 512637, 298281
