s(m), v_par(m/s), v_perp(m/s)
0, 1.53505e+06, 5.72888e+06
76715.9, 1.53322e+06, 5.72975e+06
153231, 1.52703e+06, 5.73151e+06
229328, 1.51648e+06, 5.73411e+06
304789, 1.5016e+06, 5.73841e+06
379399, 1.48244e+06, 5.74347e+06
452945, 1.45905e+06, 5.74933e+06
525217, 1.43149e+06, 5.75659e+06
596008, 1.39984e+06, 5.76434e+06
665118, 1.3642e+06, 5.77296e+06
732347, 1.32465e+06, 5.78233e+06
797504, 1.28133e+06, 5.79191e+06
860403, 1.23433e+06, 5.80243e+06
920864, 1.18381e+06, 5.81272e+06
978714, 1.1299e+06, 5.82378e+06
1.03379e+06, 1.07276e+06, 5.83432e+06
1.08593e+06, 1.01254e+06, 5.84542e+06
1.13498e+06, 949424, 5.85584e+06
1.18081e+06, 883585, 5.86631e+06
1.22329e+06, 815211, 5.87626e+06
1.26228e+06, 744496, 5.88537e+06
1.29769e+06, 671642, 5.89442e+06
1.32941e+06, 596856, 5.90251e+06
1.35734e+06, 520351, 5.90963e+06
1.38141e+06, 442343, 5.91586e+06
1.40155e+06, 363056, 5.92143e+06
1.41769e+06, 282715, 5.92589e+06
1.4298e+06, 201549, 5.92923e+06
1.43784e+06, 119789, 5.93145e+06
1.44177e+06, 37668.2, 5.93253e+06
1.4416e+06, -44579.7, 5.93248e+06
1.43732e+06, -126720, 5.9313e+06
1.42894e+06, -208519, 5.92899e+06
1.41648e+06, -289742, 5.92555e+06
1.39998e+06, -370159, 5.92099e+06
1.37948e+06, -449539, 5.91533e+06
1.35505e+06, -527657, 5.90905e+06
1.32675e+06, -604288, 5.90184e+06
1.29466e+06, -679215, 5.89365e+06
1.25887e+06, -752224, 5.88457e+06
1.21948e+06, -823105, 5.87537e+06
1.17661e+06, -891656, 5.86533e+06
1.13037e+06, -957681, 5.85486e+06
1.08089e+06, -1.02099e+06, 5.84435e+06
1.02833e+06, -1.08141e+06, 5.83325e+06
972817, -1.13875e+06, 5.82266e+06
914520, -1.19286e+06, 5.81158e+06
853601, -1.24359e+06, 5.80128e+06
790235, -1.29078e+06, 5.79084e+06
724600, -1.3343e+06, 5.78119e+06
656883, -1.37403e+06, 5.77194e+06
587278, -1.40985e+06, 5.76325e+06
515982, -1.44166e+06, 5.75565e+06
443198, -1.46936e+06, 5.74855e+06
369133, -1.49289e+06, 5.74265e+06
293998, -1.51216e+06, 5.7378e+06
218007, -1.52713e+06, 5.73372e+06
141376, -1.53774e+06, 5.7311e+06
64323.9, -1.54397e+06, 5.72961e+06
-12929.8, -1.54581e+06, 5.72902e+06
-90165.1, -1.54323e+06, 5.72991e+06
-167162, -1.53626e+06, 5.73198e+06
-243700, -1.5249e+06, 5.73493e+06
-319561, -1.5092e+06, 5.73926e+06
-394530, -1.48918e+06, 5.74467e+06
-468391, -1.46492e+06, 5.75078e+06
-540935, -1.43647e+06, 5.7582e+06
-611953, -1.40393e+06, 5.76633e+06
-681244, -1.36737e+06, 5.77497e+06
-748608, -1.3269e+06, 5.78473e+06
-813855, -1.28264e+06, 5.79455e+06
-876796, -1.23472e+06, 5.80521e+06
-937253, -1.18326e+06, 5.81586e+06
-995052, -1.12842e+06, 5.8269e+06
-1.05003e+06, -1.07034e+06, 5.83778e+06
-1.10202e+06, -1.0092e+06, 5.84884e+06
-1.15089e+06, -945172, 5.8593e+06
-1.19648e+06, -878431, 5.86998e+06
-1.23868e+06, -809170, 5.87985e+06
-1.27735e+06, -737585, 5.88923e+06
-1.31239e+06, -663880, 5.89817e+06
-1.3437e+06, -588265, 5.90616e+06
-1.37118e+06, -510955, 5.91316e+06
-1.39476e+06, -432169, 5.91955e+06
-1.41437e+06, -352133, 5.92497e+06
-1.42996e+06, -271074, 5.92927e+06
-1.44146e+06, -189222, 5.93245e+06
-1.44887e+06, -106812, 5.93449e+06
-1.45214e+06, -24077.5, 5.93539e+06
-1.45127e+06, 58745.2, 5.93515e+06
-1.44627e+06, 141420, 5.93377e+06
-1.43714e+06, 223711, 5.93125e+06
-1.42391e+06, 305384, 5.9276e+06
-1.40662e+06, 386206, 5.92283e+06
-1.38531e+06, 465946, 5.91694e+06
-1.36005e+06, 544376, 5.91032e+06
-1.33091e+06, 621273, 5.9029e+06
-1.29796e+06, 696417, 5.89449e+06
-1.2613e+06, 769593, 5.88514e+06
-1.22105e+06, 840592, 5.87573e+06
-1.17729e+06, 909212, 5.86549e+06
-1.13018e+06, 975256, 5.85482e+06
-1.07983e+06, 1.03853e+06, 5.84412e+06
-1.02639e+06, 1.09887e+06, 5.83288e+06
-970005, 1.15608e+06, 5.82212e+06
-910846, 1.21001e+06, 5.81096e+06
-849075, 1.26051e+06, 5.80052e+06
-784869, 1.30742e+06, 5.79006e+06
-718411, 1.35062e+06, 5.78028e+06
-649888, 1.38997e+06, 5.77106e+06
-579496, 1.42537e+06, 5.76228e+06
-507435, 1.45672e+06, 5.75477e+06
-433910, 1.48392e+06, 5.74781e+06
-359131, 1.5069e+06, 5.74185e+06
-283310, 1.52558e+06, 5.73719e+06
-206663, 1.53992e+06, 5.73334e+06
-129409, 1.54988e+06, 5.73069e+06
-51767.1, 1.55541e+06, 5.72947e+06
26040.4, 1.55652e+06, 5.72917e+06
103792, 1.55318e+06, 5.73006e+06
181267, 1.54542e+06, 5.73247e+06
258242, 1.53325e+06, 5.73576e+06
334500, 1.5167e+06, 5.74011e+06
409823, 1.49583e+06, 5.74589e+06
483995, 1.47069e+06, 5.75237e+06
556804, 1.44135e+06, 5.75982e+06
628043, 1.40789e+06, 5.76834e+06
697509, 1.37041e+06, 5.77721e+06
765002, 1.32901e+06, 5.78714e+06
830331, 1.28381e+06, 5.79735e+06
893307, 1.23495e+06, 5.808e+06
953752, 1.18255e+06, 5.81901e+06
1.01149e+06, 1.12676e+06, 5.83004e+06
1.06636e+06, 1.06775e+06, 5.84126e+06
1.1182e+06, 1.00569e+06, 5.85228e+06
1.16687e+06, 940738, 5.86305e+06
1.21222e+06, 873091, 5.87367e+06
1.25413e+06, 802938, 5.88346e+06
1.29247e+06, 730480, 5.89309e+06
1.32713e+06, 655922, 5.90193e+06
1.35802e+06, 579476, 5.90981e+06
1.38504e+06, 501360, 5.91687e+06
1.40812e+06, 421795, 5.92325e+06
1.4272e+06, 341010, 5.92851e+06
1.4422e+06, 259233, 5.93265e+06
1.4531e+06, 176697, 5.93566e+06
1.45986e+06, 93637.8, 5.93752e+06
1.46246e+06, 10292, 5.93823e+06
1.46089e+06, -73102.9, 5.9378e+06
1.45516e+06, -156309, 5.93622e+06
1.44527e+06, -239090, 5.9335e+06
1.43126e+06, -321208, 5.92963e+06
1.41317e+06, -402430, 5.92464e+06
1.39104e+06, -482524, 5.91852e+06
1.36494e+06, -561261, 5.91157e+06
1.33495e+06, -638417, 5.90393e+06
1.30114e+06, -713771, 5.8953e+06
1.26361e+06, -787108, 5.88571e+06
1.22247e+06, -858218, 5.87607e+06
1.17784e+06, -926898, 5.86562e+06
1.12984e+06, -992952, 5.85475e+06
1.0786e+06, -1.05619e+06, 5.84386e+06
1.02428e+06, -1.11643e+06, 5.83248e+06
967027, -1.17351e+06, 5.82155e+06
907001, -1.22725e+06, 5.81031e+06
844375, -1.2775e+06, 5.79972e+06
779327, -1.32413e+06, 5.78924e+06
712041, -1.36699e+06, 5.77935e+06
642709, -1.40596e+06, 5.77017e+06
571528, -1.44093e+06, 5.76133e+06
498701, -1.47181e+06, 5.75388e+06
424435, -1.49849e+06, 5.74706e+06
348941, -1.52091e+06, 5.74104e+06
272434, -1.539e+06, 5.73657e+06
195132, -1.5527e+06, 5.73294e+06
117256, -1.56198e+06, 5.73027e+06
39026.5, -1.56681e+06, 5.72932e+06
-39332.6, -1.56718e+06, 5.72933e+06
-117598, -1.56307e+06, 5.73029e+06
-195547, -1.55451e+06, 5.73296e+06
-272957, -1.54152e+06, 5.7366e+06
-349607, -1.52412e+06, 5.74109e+06
-425278, -1.50238e+06, 5.74713e+06
-499755, -1.47635e+06, 5.75399e+06
-572825, -1.4461e+06, 5.76146e+06
-644279, -1.41172e+06, 5.77036e+06
-713913, -1.37331e+06, 5.77962e+06
-781528, -1.33097e+06, 5.78956e+06
-846931, -1.28483e+06, 5.80016e+06
-909935, -1.23502e+06, 5.81081e+06
-970359, -1.18167e+06, 5.82219e+06
-1.02803e+06, -1.12494e+06, 5.83319e+06
-1.08279e+06, -1.06499e+06, 5.84475e+06
-1.13447e+06, -1.00199e+06, 5.85574e+06
-1.18293e+06, -936119, 5.86681e+06
-1.22802e+06, -867562, 5.87736e+06
-1.26963e+06, -796515, 5.88725e+06
-1.30763e+06, -723180, 5.89696e+06
-1.3419e+06, -647766, 5.9057e+06
-1.37236e+06, -570488, 5.91346e+06
-1.39892e+06, -491564, 5.9207e+06
-1.42149e+06, -411221, 5.92694e+06
-1.44002e+06, -329685, 5.93205e+06
-1.45444e+06, -247191, 5.93602e+06
-1.46472e+06, -163972, 5.93886e+06
-1.47083e+06, -80265.6, 5.94054e+06
-1.47274e+06, 3689.34, 5.94106e+06
-1.47046e+06, 87653.7, 5.94044e+06
-1.46398e+06, 171388, 5.93865e+06
-1.45333e+06, 254654, 5.93572e+06
-1.43853e+06, 337213, 5.93164e+06
-1.41963e+06, 418831, 5.92642e+06
-1.39667e+06, 499273, 5.92008e+06
-1.36973e+06, 578312, 5.91279e+06
-1.33887e+06, 655720, 5.90493e+06
-1.30419e+06, 731277, 5.89608e+06
-1.26579e+06, 804767, 5.88627e+06
-1.22377e+06, 875981, 5.87637e+06
-1.17824e+06, 944713, 5.86571e+06
-1.12935e+06, 1.01077e+06, 5.85465e+06
-1.07723e+06, 1.07396e+06, 5.84357e+06
