s(m), v_par(m/s), v_perp(m/s)
0, 1.62426e+07, 9.37769e+06
811097, 1.61909e+07, 9.48443e+06
1.61652e+06, 1.60156e+07, 9.79446e+06
2.4101e+06, 1.57178e+07, 1.02808e+07
3.18579e+06, 1.52998e+07, 1.09073e+07
3.93764e+06, 1.47647e+07, 1.16336e+07
4.6599e+06, 1.41165e+07, 1.24226e+07
5.34703e+06, 1.33601e+07, 1.32416e+07
5.99377e+06, 1.25012e+07, 1.40625e+07
6.59515e+06, 1.15463e+07, 1.48626e+07
7.14654e+06, 1.05026e+07, 1.56223e+07
7.64371e+06, 9.378e+06, 1.63258e+07
8.08283e+06, 8.18111e+06, 1.696e+07
8.4605e+06, 6.92098e+06, 1.75139e+07
8.77381e+06, 5.6072e+06, 1.79789e+07
9.02031e+06, 4.24976e+06, 1.8348e+07
9.19809e+06, 2.85901e+06, 1.86157e+07
9.30573e+06, 1.44554e+06, 1.87784e+07
9.34239e+06, 20139, 1.88342e+07
9.30772e+06, -1.40633e+06, 1.87815e+07
9.20196e+06, -2.82296e+06, 1.86216e+07
9.02585e+06, -4.21893e+06, 1.83563e+07
8.78071e+06, -5.58358e+06, 1.79892e+07
8.46836e+06, -6.90645e+06, 1.75254e+07
8.09115e+06, -8.17742e+06, 1.69721e+07
7.6519e+06, -9.38675e+06, 1.63375e+07
7.15394e+06, -1.05252e+07, 1.56327e+07
6.60104e+06, -1.15839e+07, 1.48706e+07
5.99738e+06, -1.25549e+07, 1.40673e+07
5.34753e+06, -1.34307e+07, 1.32422e+07
4.65644e+06, -1.42044e+07, 1.24187e+07
3.92934e+06, -1.48701e+07, 1.1625e+07
3.17178e+06, -1.54227e+07, 1.08949e+07
2.38952e+06, -1.58579e+07, 1.02664e+07
1.58851e+06, -1.61723e+07, 9.78054e+06
774859, -1.63633e+07, 9.47542e+06
-45224.1, -1.64296e+07, 9.37853e+06
-865483, -1.63704e+07, 9.4995e+06
-1.67965e+06, -1.61861e+07, 9.82718e+06
-2.48152e+06, -1.58781e+07, 1.03331e+07
-3.26494e+06, -1.54487e+07, 1.09788e+07
-4.02392e+06, -1.49011e+07, 1.17233e+07
-4.75266e+06, -1.42393e+07, 1.25296e+07
-5.44557e+06, -1.34683e+07, 1.33638e+07
-6.09734e+06, -1.2594e+07, 1.41979e+07
-6.70296e+06, -1.1623e+07, 1.50093e+07
-7.25777e+06, -1.05626e+07, 1.57782e+07
-7.75752e+06, -9.42085e+06, 1.64891e+07
-8.19834e+06, -8.20645e+06, 1.71286e+07
-8.57684e+06, -6.9286e+06, 1.7686e+07
-8.89008e+06, -5.59703e+06, 1.81527e+07
-9.13563e+06, -4.22188e+06, 1.85215e+07
-9.31157e+06, -2.81361e+06, 1.87873e+07
-9.41652e+06, -1.38296e+06, 1.89465e+07
-9.44963e+06, 59160.6, 1.8997e+07
-9.41059e+06, 1.50175e+06, 1.89374e+07
-9.29967e+06, 2.93378e+06, 1.87692e+07
