s(m), v_par(m/s), v_perp(m/s)
0, 2.96548e+06, 5.13637e+06
148218, 2.96265e+06, 5.13857e+06
296124, 2.95303e+06, 5.14448e+06
443380, 2.93664e+06, 5.15403e+06
589647, 2.91351e+06, 5.16745e+06
734591, 2.8837e+06, 5.18459e+06
877879, 2.84728e+06, 5.20497e+06
1.01918e+06, 2.80432e+06, 5.22839e+06
1.15818e+06, 2.75493e+06, 5.25484e+06
1.29454e+06, 2.69921e+06, 5.28407e+06
1.42797e+06, 2.6373e+06, 5.31555e+06
1.55815e+06, 2.56933e+06, 5.34897e+06
1.68478e+06, 2.49546e+06, 5.38402e+06
1.80757e+06, 2.41585e+06, 5.42038e+06
1.92625e+06, 2.3307e+06, 5.45771e+06
2.04053e+06, 2.24018e+06, 5.49567e+06
2.15016e+06, 2.14451e+06, 5.53389e+06
2.25488e+06, 2.04391e+06, 5.57201e+06
2.35445e+06, 1.93861e+06, 5.60967e+06
2.44865e+06, 1.82884e+06, 5.6465e+06
2.53725e+06, 1.71486e+06, 5.68213e+06
2.62005e+06, 1.59693e+06, 5.71652e+06
2.69687e+06, 1.47532e+06, 5.7493e+06
2.76751e+06, 1.3503e+06, 5.77985e+06
2.83183e+06, 1.22216e+06, 5.80846e+06
2.88967e+06, 1.0912e+06, 5.83446e+06
2.9409e+06, 957706, 5.85797e+06
2.98539e+06, 821996, 5.87835e+06
3.02306e+06, 684376, 5.89619e+06
3.0538e+06, 545161, 5.9107e+06
3.07755e+06, 404670, 5.92189e+06
3.09424e+06, 263225, 5.92975e+06
3.10386e+06, 121149, 5.93438e+06
3.10635e+06, -21231, 5.93559e+06
3.10173e+06, -163590, 5.93334e+06
3.09e+06, -305601, 5.92776e+06
3.07119e+06, -446939, 5.9189e+06
3.04533e+06, -587279, 5.90671e+06
3.01249e+06, -726300, 5.89119e+06
2.97273e+06, -863683, 5.87253e+06
2.92616e+06, -999113, 5.85121e+06
2.87287e+06, -1.13228e+06, 5.82673e+06
2.81298e+06, -1.26287e+06, 5.80009e+06
2.74664e+06, -1.3906e+06, 5.77066e+06
2.67399e+06, -1.51516e+06, 5.73945e+06
2.5952e+06, -1.63628e+06, 5.70622e+06
2.51044e+06, -1.75367e+06, 5.6712e+06
2.41991e+06, -1.86706e+06, 5.63498e+06
2.32382e+06, -1.97619e+06, 5.59788e+06
2.22239e+06, -2.08081e+06, 5.56003e+06
2.11584e+06, -2.18069e+06, 5.5218e+06
2.00442e+06, -2.27559e+06, 5.48356e+06
1.88839e+06, -2.36529e+06, 5.44566e+06
1.76801e+06, -2.44958e+06, 5.40846e+06
1.64355e+06, -2.52828e+06, 5.37233e+06
1.5153e+06, -2.60119e+06, 5.33758e+06
1.38355e+06, -2.66816e+06, 5.30455e+06
1.24861e+06, -2.72903e+06, 5.27381e+06
1.11078e+06, -2.78365e+06, 5.2456e+06
970376, -2.83191e+06, 5.22003e+06
827723, -2.87368e+06, 5.19736e+06
683146, -2.90887e+06, 5.17791e+06
536975, -2.93741e+06, 5.1623e+06
389545, -2.95921e+06, 5.15018e+06
241194, -2.97424e+06, 5.14167e+06
92262.8, -2.98246e+06, 5.13732e+06
-56908.8, -2.98384e+06, 5.13695e+06
-205978, -2.97838e+06, 5.14035e+06
-354604, -2.96609e+06, 5.14768e+06
-502446, -2.94701e+06, 5.15913e+06
-649164, -2.92116e+06, 5.17411e+06
-794423, -2.88862e+06, 5.19248e+06
-937888, -2.84945e+06, 5.21446e+06
-1.07923e+06, -2.80374e+06, 5.23958e+06
-1.21813e+06, -2.75159e+06, 5.26743e+06
-1.35426e+06, -2.69313e+06, 5.29773e+06
-1.48731e+06, -2.62849e+06, 5.33021e+06
-1.61698e+06, -2.55781e+06, 5.36478e+06
-1.74297e+06, -2.48125e+06, 5.40091e+06
-1.86499e+06, -2.39899e+06, 5.43819e+06
-1.98276e+06, -2.31122e+06, 5.47628e+06
-2.096e+06, -2.21813e+06, 5.5148e+06
-2.20446e+06, -2.11995e+06, 5.55342e+06
-2.30789e+06, -2.01688e+06, 5.59174e+06
-2.40605e+06, -1.90917e+06, 5.62948e+06
-2.49872e+06, -1.79707e+06, 5.66652e+06
-2.58567e+06, -1.68082e+06, 5.70226e+06
-2.66672e+06, -1.5607e+06, 5.73632e+06
-2.74167e+06, -1.43699e+06, 5.76853e+06
-2.81035e+06, -1.30995e+06, 5.79892e+06
-2.8726e+06, -1.17989e+06, 5.82661e+06
-2.92828e+06, -1.04709e+06, 5.85219e+06
-2.97726e+06, -911877, 5.8746e+06
-3.01942e+06, -774544, 5.89447e+06
-3.05468e+06, -635410, 5.91112e+06
-3.08293e+06, -494792, 5.92443e+06
-3.10413e+06, -353014, 5.93451e+06
-3.11822e+06, -210400, 5.94137e+06
-3.12516e+06, -67275.9, 5.94475e+06
-3.12494e+06, 76029.5, 5.94465e+06
-3.11756e+06, 219188, 5.94105e+06
-3.10303e+06, 361871, 5.93397e+06
-3.08139e+06, 503753, 5.9237e+06
-3.05268e+06, 644506, 5.91018e+06
-3.01697e+06, 783810, 5.89331e+06
-2.97434e+06, 921344, 5.87326e+06
-2.92488e+06, 1.05679e+06, 5.85063e+06
-2.86871e+06, 1.18984e+06, 5.82481e+06
-2.80595e+06, 1.32019e+06, 5.79697e+06
-2.73675e+06, 1.44754e+06, 5.76642e+06
-2.66126e+06, 1.5716e+06, 5.73397e+06
-2.57967e+06, 1.69208e+06, 5.69977e+06
-2.49214e+06, 1.8087e+06, 5.6639e+06
-2.39888e+06, 1.9212e+06, 5.62673e+06
-2.30011e+06, 2.02932e+06, 5.58874e+06
-2.19605e+06, 2.1328e+06, 5.55031e+06
-2.08693e+06, 2.23142e+06, 5.5116e+06
-1.97301e+06, 2.32494e+06, 5.473e+06
-1.85455e+06, 2.41316e+06, 5.43486e+06
-1.73181e+06, 2.49585e+06, 5.39754e+06
-1.60508e+06, 2.57285e+06, 5.36141e+06
-1.47465e+06, 2.64396e+06, 5.32708e+06
-1.34081e+06, 2.70902e+06, 5.29466e+06
-1.20387e+06, 2.76789e+06, 5.26444e+06
-1.06415e+06, 2.82043e+06, 5.23671e+06
-921965, 2.86651e+06, 5.21173e+06
