s(m), v_par(m/s), v_perp(m/s)
0, 1.32621e+06, 1.32621e+06
66308.6, 1.32612e+06, 1.32638e+06
132608, 1.32583e+06, 1.32665e+06
198888, 1.32534e+06, 1.32718e+06
265138, 1.32465e+06, 1.32789e+06
331349, 1.32376e+06, 1.32876e+06
397509, 1.32266e+06, 1.32992e+06
463610, 1.32136e+06, 1.33116e+06
529641, 1.31986e+06, 1.33273e+06
595592, 1.31816e+06, 1.3344e+06
661453, 1.31625e+06, 1.3363e+06
727213, 1.31415e+06, 1.33841e+06
792863, 1.31184e+06, 1.34064e+06
858393, 1.30933e+06, 1.34315e+06
923792, 1.30663e+06, 1.34574e+06
989052, 1.30372e+06, 1.34863e+06
1.05416e+06, 1.30061e+06, 1.35162e+06
1.11911e+06, 1.29731e+06, 1.35482e+06
1.18389e+06, 1.29381e+06, 1.35819e+06
1.24849e+06, 1.2901e+06, 1.36169e+06
1.31289e+06, 1.28621e+06, 1.36543e+06
1.3771e+06, 1.28211e+06, 1.36922e+06
1.4411e+06, 1.27782e+06, 1.37331e+06
1.50488e+06, 1.27334e+06, 1.37744e+06
1.56843e+06, 1.26865e+06, 1.3818e+06
1.63174e+06, 1.26378e+06, 1.38626e+06
1.6948e+06, 1.25871e+06, 1.39088e+06
1.75761e+06, 1.25345e+06, 1.39565e+06
1.82015e+06, 1.248e+06, 1.40051e+06
1.8824e+06, 1.24236e+06, 1.40557e+06
1.94438e+06, 1.23652e+06, 1.41066e+06
2.00605e+06, 1.2305e+06, 1.41599e+06
2.06742e+06, 1.22429e+06, 1.42131e+06
2.12848e+06, 1.2179e+06, 1.42687e+06
2.18921e+06, 1.21131e+06, 1.43243e+06
2.24961e+06, 1.20454e+06, 1.43819e+06
2.30966e+06, 1.19759e+06, 1.44396e+06
2.36936e+06, 1.19046e+06, 1.44989e+06
2.4287e+06, 1.18314e+06, 1.45586e+06
2.48767e+06, 1.17564e+06, 1.46195e+06
2.54626e+06, 1.16796e+06, 1.46809e+06
2.60446e+06, 1.1601e+06, 1.47433e+06
2.66227e+06, 1.15207e+06, 1.48062e+06
2.71967e+06, 1.14386e+06, 1.48699e+06
2.77665e+06, 1.13547e+06, 1.4934e+06
2.83321e+06, 1.12692e+06, 1.4999e+06
2.88934e+06, 1.11818e+06, 1.50641e+06
2.94503e+06, 1.10928e+06, 1.51301e+06
3.00026e+06, 1.10021e+06, 1.5196e+06
3.05504e+06, 1.09097e+06, 1.52629e+06
