s(m), v_par(m/s), v_perp(m/s)
0, 1.81163e+07, 4.85425e+06
905506, 1.81008e+07, 4.92304e+06
1.80931e+06, 1.80483e+07, 5.12315e+06
2.70957e+06, 1.79589e+07, 5.43867e+06
3.60443e+06, 1.78326e+07, 5.84865e+06
4.49207e+06, 1.76698e+07, 6.33177e+06
5.37066e+06, 1.74709e+07, 6.86939e+06
6.23841e+06, 1.72361e+07, 7.44578e+06
7.09354e+06, 1.6966e+07, 8.04833e+06
7.93429e+06, 1.66611e+07, 8.66736e+06
8.75894e+06, 1.63221e+07, 9.29508e+06
9.5658e+06, 1.59496e+07, 9.92511e+06
1.03532e+07, 1.55444e+07, 1.05524e+07
1.11196e+07, 1.51072e+07, 1.11727e+07
1.18633e+07, 1.46391e+07, 1.17826e+07
1.25829e+07, 1.4141e+07, 1.23789e+07
1.32768e+07, 1.36138e+07, 1.29589e+07
1.39436e+07, 1.30586e+07, 1.35203e+07
1.45821e+07, 1.24766e+07, 1.40611e+07
1.51908e+07, 1.1869e+07, 1.45793e+07
1.57685e+07, 1.1237e+07, 1.50733e+07
1.6314e+07, 1.05819e+07, 1.55415e+07
1.68262e+07, 9.90495e+06, 1.59825e+07
1.73041e+07, 9.20764e+06, 1.6395e+07
1.77466e+07, 8.49137e+06, 1.6778e+07
1.81528e+07, 7.7576e+06, 1.71302e+07
1.8522e+07, 7.00782e+06, 1.74509e+07
1.88533e+07, 6.24356e+06, 1.77391e+07
1.91461e+07, 5.4664e+06, 1.79941e+07
1.93997e+07, 4.67791e+06, 1.82152e+07
1.96137e+07, 3.87971e+06, 1.84019e+07
1.97875e+07, 3.07343e+06, 1.85537e+07
1.99209e+07, 2.26072e+06, 1.86702e+07
2.00135e+07, 1.44325e+06, 1.87512e+07
2.00651e+07, 622679, 1.87963e+07
2.00757e+07, -199304, 1.88055e+07
2.00452e+07, -1.02102e+06, 1.87789e+07
1.99737e+07, -1.84078e+06, 1.87163e+07
1.98612e+07, -2.65692e+06, 1.86181e+07
1.97081e+07, -3.46776e+06, 1.84843e+07
1.95146e+07, -4.27163e+06, 1.83154e+07
1.92811e+07, -5.0669e+06, 1.81117e+07
1.90081e+07, -5.85193e+06, 1.78739e+07
1.86962e+07, -6.62512e+06, 1.76023e+07
1.83459e+07, -7.38487e+06, 1.72978e+07
1.7958e+07, -8.12964e+06, 1.69612e+07
1.75333e+07, -8.85789e+06, 1.65933e+07
1.70726e+07, -9.56813e+06, 1.61951e+07
1.65768e+07, -1.02589e+07, 1.57677e+07
1.60471e+07, -1.09288e+07, 1.53122e+07
1.54844e+07, -1.15764e+07, 1.48301e+07
1.489e+07, -1.22005e+07, 1.43229e+07
1.42649e+07, -1.27997e+07, 1.37921e+07
1.36105e+07, -1.33727e+07, 1.32394e+07
1.29282e+07, -1.39185e+07, 1.26669e+07
1.22193e+07, -1.44359e+07, 1.20769e+07
1.14852e+07, -1.49239e+07, 1.14716e+07
1.07275e+07, -1.53813e+07, 1.08543e+07
9.94774e+06, -1.58074e+07, 1.0228e+07
9.14745e+06, -1.62012e+07, 9.59666e+06
8.32831e+06, -1.65618e+07, 8.96507e+06
7.49198e+06, -1.68886e+07, 8.33882e+06
6.64016e+06, -1.7181e+07, 7.72501e+06
5.77461e+06, -1.74381e+07, 7.13277e+06
4.89709e+06, -1.76597e+07, 6.57319e+06
4.0094e+06, -1.78451e+07, 6.06051e+06
3.11334e+06, -1.7994e+07, 5.61279e+06
2.21076e+06, -1.81061e+07, 5.25059e+06
1.3035e+06, -1.81812e+07, 4.99578e+06
393418, -1.8219e+07, 4.86756e+06
-517625, -1.82196e+07, 4.87707e+06
-1.42777e+06, -1.81829e+07, 5.02354e+06
-2.33514e+06, -1.81089e+07, 5.29453e+06
-3.23788e+06, -1.79979e+07, 5.67026e+06
-4.13416e+06, -1.785e+07, 6.12876e+06
-5.02212e+06, -1.76655e+07, 6.64996e+06
-5.89995e+06, -1.74448e+07, 7.21631e+06
-6.76585e+06, -1.71884e+07, 7.81377e+06
-7.61805e+06, -1.68967e+07, 8.43187e+06
-8.45481e+06, -1.65704e+07, 9.0615e+06
-9.27439e+06, -1.62102e+07, 9.6959e+06
-1.00751e+07, -1.58167e+07, 1.03296e+07
-1.08554e+07, -1.53907e+07, 1.09579e+07
-1.16135e+07, -1.49332e+07, 1.1577e+07
-1.23481e+07, -1.4445e+07, 1.21837e+07
-1.30574e+07, -1.39271e+07, 1.2775e+07
-1.37402e+07, -1.33807e+07, 1.33486e+07
-1.43949e+07, -1.28068e+07, 1.39023e+07
-1.50203e+07, -1.22065e+07, 1.44339e+07
-1.5615e+07, -1.15812e+07, 1.49419e+07
-1.61779e+07, -1.0932e+07, 1.54245e+07
-1.67078e+07, -1.02604e+07, 1.58804e+07
-1.72035e+07, -9.56765e+06, 1.63081e+07
-1.76641e+07, -8.85519e+06, 1.67065e+07
-1.80887e+07, -8.12448e+06, 1.70746e+07
-1.84762e+07, -7.37701e+06, 1.74111e+07
-1.8826e+07, -6.61432e+06, 1.77153e+07
-1.91374e+07, -5.83795e+06, 1.79865e+07
-1.94096e+07, -5.0495e+06, 1.82238e+07
-1.96421e+07, -4.25058e+06, 1.84267e+07
-1.98345e+07, -3.44282e+06, 1.85947e+07
-1.99862e+07, -2.62788e+06, 1.87273e+07
-2.00971e+07, -1.80741e+06, 1.88243e+07
-2.01669e+07, -983110, 1.88853e+07
-2.01954e+07, -156653, 1.89102e+07
-2.01826e+07, 670265, 1.88989e+07
-2.01284e+07, 1.49595e+06, 1.88516e+07
-2.0033e+07, 2.31872e+06, 1.87682e+07
-1.98966e+07, 3.13688e+06, 1.8649e+07
-1.97195e+07, 3.94875e+06, 1.84942e+07
-1.95019e+07, 4.75268e+06, 1.83043e+07
-1.92444e+07, 5.54702e+06, 1.80798e+07
-1.89474e+07, 6.33014e+06, 1.7821e+07
-1.86117e+07, 7.10044e+06, 1.75288e+07
-1.82377e+07, 7.85633e+06, 1.72039e+07
-1.78264e+07, 8.59626e+06, 1.68471e+07
-1.73784e+07, 9.31873e+06, 1.64594e+07
-1.68949e+07, 1.00222e+07, 1.60417e+07
-1.63766e+07, 1.07054e+07, 1.55954e+07
-1.58248e+07, 1.13667e+07, 1.51215e+07
-1.52405e+07, 1.20048e+07, 1.46217e+07
-1.46248e+07, 1.26185e+07, 1.40974e+07
-1.39791e+07, 1.32065e+07, 1.35503e+07
-1.33047e+07, 1.37675e+07, 1.29823e+07
-1.2603e+07, 1.43005e+07, 1.23956e+07
-1.18753e+07, 1.48042e+07, 1.17925e+07
-1.11232e+07, 1.52777e+07, 1.11756e+07
-1.03482e+07, 1.57201e+07, 1.05483e+07
-9.55184e+06, 1.61303e+07, 9.91407e+06
-8.73582e+06, 1.65076e+07, 9.27719e+06
