s(m), v_par(m/s), v_perp(m/s)
0, 572888, 153505
28644.4, 572887, 153514
57288.7, 572886, 153522
85932.9, 572883, 153531
114577, 572879, 153540
143221, 572874, 153566
171864, 572867, 153592
200507, 572860, 153619
229150, 572851, 153645
257793, 572841, 153688
286434, 572830, 153732
315075, 572818, 153776
343716, 572804, 153820
372356, 572790, 153881
400995, 572774, 153942
429633, 572757, 154003
458271, 572739, 154064
486907, 572720, 154142
515543, 572699, 154221
544177, 572678, 154299
572810, 572655, 154378
601443, 572631, 154473
630074, 572606, 154569
658703, 572580, 154665
687331, 572552, 154760
715958, 572524, 154873
744584, 572494, 154985
773208, 572463, 155098
801830, 572431, 155211
830451, 572397, 155340
859070, 572363, 155470
887687, 572327, 155599
916302, 572290, 155729
944916, 572252, 155875
973528, 572213, 156021
1.00214e+06, 572173, 156168
1.03074e+06, 572131, 156314
1.05935e+06, 572089, 156476
1.08795e+06, 572045, 156639
1.11655e+06, 572000, 156802
1.14515e+06, 571953, 156965
1.17375e+06, 571906, 157143
1.20234e+06, 571858, 157323
1.23094e+06, 571808, 157502
1.25953e+06, 571757, 157681
1.28811e+06, 571705, 157875
1.3167e+06, 571652, 158071
1.34528e+06, 571597, 158266
1.37386e+06, 571542, 158461
1.40243e+06, 571485, 158671
1.431e+06, 571427, 158882
1.45957e+06, 571368, 159093
1.48814e+06, 571308, 159304
1.5167e+06, 571246, 159529
1.54527e+06, 571184, 159756
1.57382e+06, 571120, 159983
1.60238e+06, 571055, 160209
1.63093e+06, 570989, 160449
1.65948e+06, 570922, 160692
1.68802e+06, 570853, 160933
1.71656e+06, 570783, 161175
1.7451e+06, 570713, 161430
1.77363e+06, 570641, 161687
1.80216e+06, 570568, 161944
1.83069e+06, 570493, 162200
1.85921e+06, 570418, 162470
1.88773e+06, 570341, 162742
1.91625e+06, 570263, 163013
1.94476e+06, 570185, 163284
1.97326e+06, 570104, 163568
2.00177e+06, 570023, 163854
2.03027e+06, 569941, 164140
2.05876e+06, 569857, 164425
2.08725e+06, 569772, 164722
2.11574e+06, 569686, 165023
2.14422e+06, 569599, 165322
2.1727e+06, 569511, 165622
2.20117e+06, 569421, 165932
2.22964e+06, 569331, 166246
2.25811e+06, 569239, 166560
2.28656e+06, 569146, 166873
2.31502e+06, 569052, 167196
2.34347e+06, 568957, 167524
2.37192e+06, 568860, 167850
2.40036e+06, 568763, 168176
2.42879e+06, 568664, 168513
2.45722e+06, 568564, 168853
2.48565e+06, 568463, 169193
2.51407e+06, 568360, 169532
2.54248e+06, 568257, 169880
2.57089e+06, 568152, 170234
2.5993e+06, 568047, 170586
2.6277e+06, 567940, 170938
2.65609e+06, 567832, 171298
2.68448e+06, 567722, 171663
2.71287e+06, 567612, 172028
2.74124e+06, 567500, 172392
2.76962e+06, 567388, 172764
2.79798e+06, 567274, 173141
2.82634e+06, 567159, 173518
2.8547e+06, 567043, 173894
2.88305e+06, 566925, 174277
2.91139e+06, 566807, 174666
2.93973e+06, 566687, 175054
2.96806e+06, 566566, 175442
2.99638e+06, 566444, 175835
3.0247e+06, 566321, 176236
3.05302e+06, 566196, 176635
3.08132e+06, 566071, 177034
3.10962e+06, 565944, 177438
3.13792e+06, 565816, 177849
3.1662e+06, 565687, 178260
3.19449e+06, 565557, 178669
3.22276e+06, 565426, 179083
3.25103e+06, 565294, 179506
3.27929e+06, 565160, 179927
3.30754e+06, 565025, 180347
3.33579e+06, 564889, 180770
3.36403e+06, 564752, 181203
3.39227e+06, 564614, 181634
3.42049e+06, 564475, 182064
3.44872e+06, 564334, 182497
3.47693e+06, 564192, 182939
3.50513e+06, 564049, 183381
3.53333e+06, 563905, 183821
3.56152e+06, 563760, 184262
3.58971e+06, 563614, 184715
3.61789e+06, 563466, 185166
3.64606e+06, 563318, 185615
3.67422e+06, 563168, 186065
3.70237e+06, 563017, 186527
3.73052e+06, 562865, 186987
3.75866e+06, 562712, 187446
3.78679e+06, 562557, 187904
3.81491e+06, 562402, 188375
3.84303e+06, 562245, 188844
3.87114e+06, 562087, 189312
3.89924e+06, 561928, 189779
3.92733e+06, 561768, 190257
3.95542e+06, 561607, 190735
3.98349e+06, 561444, 191212
4.01156e+06, 561281, 191687
4.03962e+06, 561116, 192173
4.06767e+06, 560950, 192659
4.09572e+06, 560783, 193144
4.12375e+06, 560615, 193627
4.15178e+06, 560446, 194120
4.1798e+06, 560275, 194614
4.2078e+06, 560103, 195107
4.23581e+06, 559931, 195599
4.2638e+06, 559757, 196098
4.29178e+06, 559582, 196600
4.31976e+06, 559405, 197101
4.34772e+06, 559228, 197600
4.37568e+06, 559050, 198106
4.40363e+06, 558870, 198616
4.43157e+06, 558689, 199124
4.4595e+06, 558507, 199631
4.48742e+06, 558324, 200142
4.51533e+06, 558140, 200659
4.54323e+06, 557954, 201174
4.57112e+06, 557768, 201688
4.59901e+06, 557580, 202205
4.62688e+06, 557391, 202729
4.65475e+06, 557201, 203252
4.6826e+06, 557010, 203773
4.71045e+06, 556818, 204295
4.73828e+06, 556625, 204826
4.76611e+06, 556430, 205355
4.79393e+06, 556235, 205882
