s(m), v_par(m/s), v_perp(m/s)
0, 419383, 419383
20969.1, 419380, 419400
41937.9, 419371, 419418
62906.1, 419356, 419435
83873.3, 419334, 419453
104839, 419305, 419471
125804, 419271, 419507
146766, 419230, 419559
167727, 419182, 419612
188684, 419128, 419664
209639, 419068, 419717
230591, 419001, 419771
251539, 418928, 419859
272484, 418848, 419946
293424, 418762, 420034
314360, 418670, 420121
335291, 418571, 420208
356217, 418466, 420316
377137, 418355, 420438
398052, 418237, 420560
418961, 418112, 420682
439863, 417982, 420804
460759, 417845, 420929
481647, 417701, 421085
502529, 417551, 421242
523402, 417395, 421398
544268, 417232, 421555
565126, 417063, 421711
585974, 416888, 421887
606814, 416706, 422078
627645, 416518, 422268
648466, 416323, 422458
669277, 416123, 422648
690078, 415915, 422841
710868, 415702, 423065
731648, 415482, 423289
752417, 415256, 423512
773174, 415023, 423736
793919, 414784, 423959
814652, 414539, 424201
835372, 414287, 424458
856080, 414029, 424714
876775, 413765, 424970
897457, 413494, 425226
918125, 413217, 425482
938778, 412934, 425772
959418, 412644, 426061
980043, 412349, 426349
1.00065e+06, 412046, 426637
1.02125e+06, 411738, 426925
1.04183e+06, 411423, 427227
1.06239e+06, 411102, 427548
1.08294e+06, 410775, 427868
1.10347e+06, 410441, 428187
1.12398e+06, 410101, 428507
1.14448e+06, 409755, 428825
1.16496e+06, 409403, 429172
1.18542e+06, 409044, 429523
1.20586e+06, 408679, 429873
1.22628e+06, 408308, 430223
1.24669e+06, 407930, 430572
1.26708e+06, 407547, 430929
1.28745e+06, 407157, 431310
1.30779e+06, 406761, 431690
1.32812e+06, 406359, 432070
1.34843e+06, 405950, 432449
1.36872e+06, 405535, 432827
1.38898e+06, 405114, 433224
1.40923e+06, 404687, 433634
1.42945e+06, 404254, 434043
1.44965e+06, 403814, 434450
1.46983e+06, 403369, 434857
1.48999e+06, 402917, 435264
1.51012e+06, 402459, 435699
1.53023e+06, 401995, 436136
1.55032e+06, 401524, 436572
1.57039e+06, 401048, 437007
1.59043e+06, 400566, 437441
1.61044e+06, 400077, 437880
1.63044e+06, 399582, 438344
1.6504e+06, 399081, 438807
1.67034e+06, 398574, 439269
1.69026e+06, 398061, 439730
1.71015e+06, 397542, 440190
1.73001e+06, 397017, 440663
1.74985e+06, 396485, 441152
1.76966e+06, 395948, 441640
1.78945e+06, 395405, 442127
1.8092e+06, 394855, 442612
1.82893e+06, 394300, 443097
1.84863e+06, 393738, 443600
1.8683e+06, 393171, 444113
1.88795e+06, 392597, 444625
1.90756e+06, 392017, 445135
1.92715e+06, 391432, 445644
1.94671e+06, 390840, 446151
1.96623e+06, 390243, 446682
1.98573e+06, 389639, 447218
2.0052e+06, 389030, 447752
2.02463e+06, 388415, 448284
2.04404e+06, 387793, 448815
2.06341e+06, 387166, 449345
2.08276e+06, 386533, 449900
2.10207e+06, 385894, 450457
2.12135e+06, 385249, 451012
2.14059e+06, 384598, 451565
2.1598e+06, 383941, 452117
2.17899e+06, 383279, 452667
2.19813e+06, 382610, 453244
2.21725e+06, 381936, 453820
2.23633e+06, 381256, 454395
2.25537e+06, 380570, 454968
2.27438e+06, 379878, 455539
2.29336e+06, 379180, 456108
2.3123e+06, 378477, 456703
2.33121e+06, 377768, 457298
2.35008e+06, 377053, 457890
2.36891e+06, 376332, 458482
2.38771e+06, 375606, 459071
2.40647e+06, 374874, 459658
2.4252e+06, 374136, 460267
2.44389e+06, 373392, 460879
2.46254e+06, 372643, 461489
2.48115e+06, 371888, 462097
2.49973e+06, 371127, 462703
2.51826e+06, 370360, 463306
2.53676e+06, 369588, 463927
2.55522e+06, 368811, 464555
2.57364e+06, 368027, 465180
2.59202e+06, 367238, 465803
2.61037e+06, 366444, 466424
2.62867e+06, 365644, 467043
2.64693e+06, 364838, 467672
2.66515e+06, 364026, 468313
2.68333e+06, 363209, 468953
2.70147e+06, 362387, 469590
2.71957e+06, 361559, 470225
2.73763e+06, 360725, 470857
2.75564e+06, 359886, 471491
2.77362e+06, 359042, 472145
2.79155e+06, 358192, 472797
2.80944e+06, 357336, 473447
2.82728e+06, 356475, 474094
2.84508e+06, 355609, 474739
2.86284e+06, 354737, 475381
2.88056e+06, 353860, 476039
2.89823e+06, 352977, 476703
2.91585e+06, 352089, 477364
2.93344e+06, 351195, 478022
2.95097e+06, 350297, 478678
2.96847e+06, 349392, 479331
2.98591e+06, 348483, 479985
3.00331e+06, 347568, 480659
3.02067e+06, 346648, 481329
3.03798e+06, 345722, 481997
3.05524e+06, 344791, 482663
3.07246e+06, 343855, 483325
3.08963e+06, 342914, 483985
3.10675e+06, 341968, 484655
3.12382e+06, 341016, 485334
3.14085e+06, 340059, 486010
3.15783e+06, 339097, 486684
3.17476e+06, 338129, 487354
3.19164e+06, 337157, 488022
3.20848e+06, 336179, 488687
3.22526e+06, 335196, 489367
3.242e+06, 334208, 490050
3.25868e+06, 333215, 490730
3.27532e+06, 332217, 491407
3.2919e+06, 331214, 492081
3.30844e+06, 330206, 492753
3.32492e+06, 329192, 493421
3.34136e+06, 328174, 494106
3.35774e+06, 327151, 494792
3.37407e+06, 326122, 495474
3.39035e+06, 325089, 496154
3.40658e+06, 324050, 496830
3.42276e+06, 323007, 497503
3.43888e+06, 321959, 498173
3.45495e+06, 320906, 498859
3.47097e+06, 319848, 499545
3.48694e+06, 318785, 500228
3.50285e+06, 317717, 500908
3.51871e+06, 316644, 501585
3.53452e+06, 315567, 502259
3.55027e+06, 314484, 502929
3.56596e+06, 313397, 503609
3.58161e+06, 312305, 504295
3.59719e+06, 311209, 504977
3.61273e+06, 310107, 505657
3.6282e+06, 309001, 506332
3.64363e+06, 307890, 507005
3.65899e+06, 306774, 507674
3.6743e+06, 305654, 508344
3.68956e+06, 304529, 509027
3.70476e+06, 303399, 509707
3.7199e+06, 302265, 510384
3.73498e+06, 301126, 511057
3.75001e+06, 299983, 511727
3.76498e+06, 298835, 512394
3.77989e+06, 297682, 513057
3.79475e+06, 296525, 513728
3.80955e+06, 295363, 514404
3.82429e+06, 294197, 515077
3.83897e+06, 293026, 515746
3.85359e+06, 291851, 516412
3.86815e+06, 290671, 517074
3.88266e+06, 289487, 517733
3.8971e+06, 288298, 518388
3.91149e+06, 287105, 519054
3.92581e+06, 285908, 519721
3.94008e+06, 284706, 520385
3.95428e+06, 283500, 521045
3.96843e+06, 282289, 521701
3.98251e+06, 281075, 522354
3.99653e+06, 279856, 523003
4.0105e+06, 278632, 523649
4.0244e+06, 277405, 524303
4.03824e+06, 276173, 524960
4.05201e+06, 274937, 525613
4.06573e+06, 273697, 526262
4.07938e+06, 272452, 526907
4.09297e+06, 271203, 527549
4.1065e+06, 269951, 528187
4.11997e+06, 268694, 528822
4.13337e+06, 267433, 529457
4.14671e+06, 266168, 530101
4.15999e+06, 264899, 530742
4.1732e+06, 263625, 531379
4.18635e+06, 262348, 532012
4.19944e+06, 261067, 532641
4.21246e+06, 259782, 533267
4.22542e+06, 258493, 533888
4.23831e+06, 257199, 534506
4.25113e+06, 255902, 535128
4.2639e+06, 254601, 535755
4.2766e+06, 253296, 536378
