s(m), v_par(m/s), v_perp(m/s)
0, 485425, 1.81163e+06
24270.1, 485367, 1.81172e+06
48533.8, 485171, 1.81181e+06
72784.3, 484837, 1.81189e+06
97014.6, 484364, 1.81198e+06
121218, 483753, 1.81211e+06
145387, 483004, 1.81238e+06
169515, 482118, 1.81264e+06
193596, 481093, 1.8129e+06
217622, 479932, 1.81316e+06
241586, 478634, 1.81351e+06
265482, 477199, 1.81394e+06
289303, 475628, 1.81437e+06
313042, 473922, 1.81479e+06
336693, 472080, 1.81522e+06
360248, 470104, 1.81576e+06
383700, 467993, 1.81635e+06
407044, 465749, 1.81694e+06
430272, 463372, 1.81753e+06
453379, 460863, 1.81811e+06
476356, 458223, 1.81881e+06
499198, 455452, 1.81955e+06
521899, 452550, 1.82029e+06
544451, 449520, 1.82102e+06
566848, 446361, 1.82174e+06
589084, 443075, 1.82257e+06
611153, 439663, 1.82344e+06
633048, 436125, 1.82431e+06
654763, 432463, 1.82516e+06
676291, 428677, 1.82601e+06
697628, 424769, 1.82692e+06
718766, 420740, 1.8279e+06
739699, 416590, 1.82888e+06
760422, 412322, 1.82984e+06
780929, 407936, 1.83079e+06
801214, 403434, 1.83174e+06
821270, 398816, 1.8328e+06
841093, 394085, 1.83386e+06
860676, 389241, 1.83491e+06
880015, 384286, 1.83594e+06
899103, 379221, 1.83696e+06
917934, 374048, 1.83797e+06
936505, 368769, 1.83909e+06
954809, 363384, 1.8402e+06
972841, 357895, 1.84129e+06
990596, 352304, 1.84236e+06
1.00807e+06, 346612, 1.84341e+06
1.02526e+06, 340822, 1.84445e+06
1.04215e+06, 334934, 1.84554e+06
1.05875e+06, 328950, 1.84666e+06
1.07504e+06, 322873, 1.84775e+06
1.09103e+06, 316703, 1.84883e+06
1.10671e+06, 310443, 1.84988e+06
1.12207e+06, 304094, 1.85091e+06
1.13712e+06, 297658, 1.85192e+06
1.15184e+06, 291137, 1.85294e+06
1.16623e+06, 284533, 1.85401e+06
1.18029e+06, 277848, 1.85505e+06
1.19401e+06, 271084, 1.85607e+06
1.2074e+06, 264241, 1.85706e+06
1.22044e+06, 257324, 1.85802e+06
1.23313e+06, 250333, 1.85896e+06
1.24547e+06, 243270, 1.85987e+06
1.25745e+06, 236138, 1.86076e+06
1.26908e+06, 228938, 1.86167e+06
1.28035e+06, 221673, 1.86258e+06
1.29125e+06, 214344, 1.86346e+06
1.30178e+06, 206954, 1.86431e+06
1.31194e+06, 199505, 1.86513e+06
1.32173e+06, 191999, 1.86592e+06
1.33114e+06, 184438, 1.86668e+06
1.34017e+06, 176824, 1.86741e+06
1.34882e+06, 169159, 1.8681e+06
1.35709e+06, 161447, 1.86877e+06
