s(m), v_par(m/s), v_perp(m/s)
0, 296548, 513637
14827.4, 296546, 513652
29654.4, 296536, 513667
44480.8, 296520, 513683
59306.2, 296496, 513698
74130.3, 296466, 513713
88952.7, 296430, 513728
103773, 296386, 513743
118591, 296336, 513766
133407, 296278, 513812
148219, 296214, 513857
163028, 296144, 513903
177833, 296066, 513948
192634, 295982, 513994
207431, 295890, 514039
222223, 295793, 514085
237010, 295688, 514145
251792, 295576, 514221
266568, 295458, 514297
281338, 295333, 514372
296101, 295201, 514448
310857, 295063, 514523
325607, 294917, 514598
340349, 294765, 514674
355083, 294606, 514771
369810, 294441, 514877
384527, 294268, 514982
399236, 294089, 515087
413936, 293903, 515192
428626, 293711, 515297
443307, 293512, 515402
457977, 293305, 515507
472637, 293093, 515639
487287, 292873, 515774
501925, 292647, 515908
516551, 292414, 516043
531166, 292174, 516177
545768, 291928, 516310
560359, 291675, 516444
574936, 291415, 516580
589500, 291149, 516744
604051, 290876, 516906
618587, 290596, 517069
633110, 290310, 517232
647618, 290017, 517394
662112, 289717, 517556
676590, 289411, 517718
691053, 289098, 517885
705499, 288778, 518076
719930, 288452, 518266
734345, 288119, 518456
748742, 287780, 518646
763122, 287434, 518836
777485, 287081, 519025
791830, 286722, 519214
806157, 286356, 519409
820466, 285984, 519626
834756, 285605, 519843
849026, 285219, 520059
863277, 284827, 520276
877509, 284429, 520491
891720, 284024, 520707
905911, 283612, 520922
920081, 283194, 521141
934230, 282770, 521384
948358, 282339, 521626
962464, 281901, 521868
976548, 281457, 522109
990610, 281007, 522350
1.00465e+06, 280550, 522590
1.01866e+06, 280087, 522830
1.03266e+06, 279617, 523069
1.04663e+06, 279141, 523336
1.06057e+06, 278658, 523602
1.07449e+06, 278169, 523868
1.08839e+06, 277674, 524133
1.10226e+06, 277173, 524397
1.11611e+06, 276665, 524661
1.12993e+06, 276150, 524924
1.14372e+06, 275629, 525187
1.15749e+06, 275102, 525469
1.17123e+06, 274569, 525758
1.18495e+06, 274030, 526046
1.19863e+06, 273484, 526334
1.21229e+06, 272932, 526620
1.22593e+06, 272373, 526906
1.23953e+06, 271808, 527191
1.25311e+06, 271238, 527476
1.26665e+06, 270660, 527768
1.28017e+06, 270077, 528078
1.29366e+06, 269488, 528387
1.30712e+06, 268892, 528695
1.32055e+06, 268290, 529002
1.33395e+06, 267682, 529309
1.34732e+06, 267068, 529614
1.36066e+06, 266448, 529919
1.37396e+06, 265821, 530223
1.38724e+06, 265189, 530546
1.40048e+06, 264550, 530874
1.41369e+06, 263906, 531202
1.42687e+06, 263255, 531528
1.44002e+06, 262598, 531853
1.45313e+06, 261936, 532177
1.46621e+06, 261267, 532500
1.47926e+06, 260592, 532822
1.49227e+06, 259911, 533145
1.50525e+06, 259225, 533490
1.51819e+06, 258532, 533835
1.5311e+06, 257834, 534178
