s(m), v_par(m/s), v_perp(m/s)
0, 4.85425e+06, 1.81163e+07
241559, 4.79665e+06, 1.81351e+07
476815, 4.60245e+06, 1.81883e+07
699061, 4.27686e+06, 1.82699e+07
901944, 3.82882e+06, 1.83711e+07
1.07964e+06, 3.27079e+06, 1.84806e+07
1.22705e+06, 2.6184e+06, 1.85851e+07
1.33989e+06, 1.88997e+06, 1.86738e+07
1.41488e+06, 1.10605e+06, 1.87368e+07
1.44979e+06, 288818, 1.87673e+07
1.44354e+06, -538560, 1.87619e+07
1.39621e+06, -1.35257e+06, 1.87205e+07
1.30904e+06, -2.13002e+06, 1.8649e+07
1.18442e+06, -2.8487e+06, 1.85536e+07
1.02582e+06, -3.48803e+06, 1.84448e+07
837653, -4.02964e+06, 1.83367e+07
625213, -4.45789e+06, 1.824e+07
394484, -4.76031e+06, 1.81662e+07
151988, -4.92803e+06, 1.81245e+07
-95404.1, -4.95593e+06, 1.81197e+07
-340666, -4.84291e+06, 1.81529e+07
-576814, -4.59183e+06, 1.82209e+07
-797109, -4.20953e+06, 1.83154e+07
-995247, -3.70657e+06, 1.84264e+07
-1.16554e+06, -3.09697e+06, 1.85396e+07
-1.30307e+06, -2.39782e+06, 1.86441e+07
-1.40385e+06, -1.6288e+06, 1.87272e+07
-1.46494e+06, -811635, 1.87805e+07
-1.48449e+06, 30553.4, 1.87975e+07
-1.46185e+06, 873859, 1.87778e+07
-1.39757e+06, 1.69429e+06, 1.87217e+07
-1.29338e+06, 2.46846e+06, 1.86363e+07
-1.15214e+06, 3.17423e+06, 1.85297e+07
-977797, 3.79135e+06, 1.84159e+07
-775221, 4.30207e+06, 1.83053e+07
-550112, 4.6916e+06, 1.8212e+07
-308822, 4.94857e+06, 1.81472e+07
-58176, 5.06537e+06, 1.81184e+07
194716, 5.03833e+06, 1.81291e+07
442665, 4.86788e+06, 1.81784e+07
678606, 4.55855e+06, 1.8261e+07
895797, 4.11879e+06, 1.83678e+07
1.08801e+06, 3.56082e+06, 1.84862e+07
1.24973e+06, 2.90022e+06, 1.86019e+07
1.37628e+06, 2.15556e+06, 1.87031e+07
1.46396e+06, 1.34781e+06, 1.87797e+07
1.51021e+06, 499816, 1.88212e+07
1.5136e+06, -364402, 1.88244e+07
1.47394e+06, -1.22029e+06, 1.87883e+07
1.39224e+06, -2.04348e+06, 1.87171e+07
1.27075e+06, -2.81048e+06, 1.8618e+07
1.11282e+06, -3.49933e+06, 1.85029e+07
922853, -4.09025e+06, 1.83826e+07
706185, -4.56619e+06, 1.82732e+07
468915, -4.91336e+06, 1.81857e+07
217745, -5.12155e+06, 1.81316e+07
-40212.9, -5.18453e+06, 1.81178e+07
-297635, -5.10016e+06, 1.81452e+07
-547197, -4.87049e+06, 1.82111e+07
-781781, -4.50172e+06, 1.83083e+07
-994676, -4.004e+06, 1.84261e+07
-1.17977e+06, -3.39119e+06, 1.85501e+07
-1.33175e+06, -2.68046e+06, 1.86673e+07
-1.44619e+06, -1.89179e+06, 1.87642e+07
-1.51976e+06, -1.04744e+06, 1.88302e+07
-1.55026e+06, -171303, 1.88588e+07
-1.53673e+06, 711778, 1.88461e+07
-1.47945e+06, 1.57669e+06, 1.87931e+07
-1.37995e+06, 2.39879e+06, 1.87063e+07
-1.24095e+06, 3.15458e+06, 1.85954e+07
-1.06632e+06, 3.82241e+06, 1.84716e+07
-860936, 4.38307e+06, 1.83492e+07
-630577, 4.82035e+06, 1.82421e+07
-381735, 5.12153e+06, 1.8163e+07
-121446, 5.27771e+06, 1.81212e+07
142913, 5.28411e+06, 1.81235e+07
403830, 5.14019e+06, 1.81686e+07
653873, 4.84969e+06, 1.82513e+07
885904, 4.42053e+06, 1.83625e+07
1.09328e+06, 3.8646e+06, 1.84898e+07
1.27004e+06, 3.19741e+06, 1.86175e+07
1.41108e+06, 2.43768e+06, 1.87335e+07
1.51231e+06, 1.60681e+06, 1.88232e+07
1.57076e+06, 728260, 1.8878e+07
1.58466e+06, -173080, 1.8891e+07
1.5535e+06, -1.07162e+06, 1.88618e+07
1.47808e+06, -1.9418e+06, 1.87919e+07
1.36042e+06, -2.75878e+06, 1.86904e+07
1.20379e+06, -3.49921e+06, 1.85679e+07
1.01253e+06, -4.14183e+06, 1.84368e+07
792024, -4.66813e+06, 1.83131e+07
548460, -5.06286e+06, 1.82115e+07
288718, -5.31449e+06, 1.81436e+07
20149.6, -5.41552e+06, 1.8117e+07
-249626, -5.36271e+06, 1.81365e+07
-512936, -5.15721e+06, 1.82e+07
-762275, -4.80451e+06, 1.82993e+07
-990515, -4.31428e+06, 1.84235e+07
-1.19111e+06, -3.70016e+06, 1.85585e+07
-1.3583e+06, -2.97932e+06, 1.86887e+07
-1.48723e+06, -2.17201e+06, 1.87999e+07
-1.57416e+06, -1.30101e+06, 1.88811e+07
-1.61651e+06, -390942, 1.89214e+07
-1.61297e+06, 532398, 1.89179e+07
-1.56353e+06, 1.44277e+06, 1.88712e+07
-1.4695e+06, 2.31424e+06, 1.87845e+07
-1.33343e+06, 3.12193e+06, 1.86686e+07
-1.15911e+06, 3.84271e+06, 1.85348e+07
-951398, 4.45586e+06, 1.83999e+07
-716130, 4.94369e+06, 1.82778e+07
-459934, 5.29202e+06, 1.81828e+07
-190047, 5.49062e+06, 1.81286e+07
85882.3, 5.53348e+06, 1.81194e+07
360020, 5.41902e+06, 1.81576e+07
624561, 5.15011e+06, 1.82397e+07
871958, 4.73405e+06, 1.83551e+07
1.09513e+06, 4.18232e+06, 1.8491e+07
1.28768e+06, 3.51031e+06, 1.86317e+07
1.44404e+06, 2.73684e+06, 1.87623e+07
1.55969e+06, 1.88369e+06, 1.88676e+07
1.63124e+06, 974928, 1.89362e+07
1.65655e+06, 36288.4, 1.89615e+07
1.63479e+06, -905598, 1.89398e+07
1.56647e+06, -1.82394e+06, 1.88739e+07
1.45343e+06, -2.69256e+06, 1.87705e+07
1.29876e+06, -3.48663e+06, 1.86407e+07
1.10678e+06, -4.18337e+06, 1.84989e+07
882866, -4.76275e+06, 1.83609e+07
633302, -5.20799e+06, 1.82432e+07
365131, -5.50611e+06, 1.81588e+07
85940, -5.64829e+06, 1.81194e+07
-196355, -5.63011e+06, 1.81293e+07
-473729, -5.45172e+06, 1.81873e+07
-738281, -5.1178e+06, 1.82881e+07
-982453, -4.63749e+06, 1.84187e+07
-1.19925e+06, -4.02412e+06, 1.85646e+07
-1.38244e+06, -3.29481e+06, 1.87085e+07
-1.52673e+06, -2.47004e+06, 1.88367e+07
-1.62793e+06, -1.57306e+06, 1.89329e+07
-1.68305e+06, -629201, 1.8988e+07
-1.69042e+06, 334781, 1.89954e+07
-1.64971e+06, 1.29151e+06, 1.89547e+07
