s(m), v_par(m/s), v_perp(m/s)
0, 9.37769e+06, 1.62426e+07
93719.5, 9.36049e+06, 1.62548e+07
187095, 9.30898e+06, 1.62856e+07
279785, 9.22333e+06, 1.63344e+07
371449, 9.10386e+06, 1.64003e+07
461751, 8.95101e+06, 1.6482e+07
550360, 8.76535e+06, 1.65835e+07
636951, 8.54754e+06, 1.6698e+07
721206, 8.29838e+06, 1.68226e+07
802817, 8.01881e+06, 1.69548e+07
881484, 7.70982e+06, 1.71005e+07
956919, 7.37257e+06, 1.72487e+07
1.02885e+06, 7.00829e+06, 1.73972e+07
1.097e+06, 6.61831e+06, 1.75522e+07
1.16113e+06, 6.20406e+06, 1.7701e+07
1.221e+06, 5.76706e+06, 1.78498e+07
1.2764e+06, 5.30892e+06, 1.79898e+07
1.32712e+06, 4.83131e+06, 1.81257e+07
1.37297e+06, 4.33598e+06, 1.82477e+07
1.41378e+06, 3.82476e+06, 1.83641e+07
1.44942e+06, 3.29951e+06, 1.84659e+07
1.47973e+06, 2.76216e+06, 1.85521e+07
1.50463e+06, 2.21469e+06, 1.86255e+07
1.524e+06, 1.65909e+06, 1.86845e+07
1.53779e+06, 1.09742e+06, 1.87263e+07
1.54594e+06, 531713, 1.8751e+07
1.54842e+06, -35939.1, 1.87586e+07
1.54522e+06, -603459, 1.87489e+07
1.53635e+06, -1.16877e+06, 1.8722e+07
1.52186e+06, -1.72979e+06, 1.86779e+07
1.50178e+06, -2.28447e+06, 1.86168e+07
1.4762e+06, -2.83077e+06, 1.8542e+07
1.4452e+06, -3.36669e+06, 1.84539e+07
1.4089e+06, -3.89027e+06, 1.83501e+07
1.36744e+06, -4.39959e+06, 1.8233e+07
1.32096e+06, -4.89277e+06, 1.81093e+07
1.26965e+06, -5.36801e+06, 1.79716e+07
1.21367e+06, -5.82357e+06, 1.78317e+07
1.15325e+06, -6.25778e+06, 1.76813e+07
1.08859e+06, -6.66904e+06, 1.75331e+07
1.01995e+06, -7.05584e+06, 1.73789e+07
947561, -7.41678e+06, 1.72293e+07
871701, -7.75052e+06, 1.70824e+07
792645, -8.05584e+06, 1.69383e+07
710683, -8.33162e+06, 1.68055e+07
626115, -8.57685e+06, 1.6683e+07
539251, -8.79064e+06, 1.65708e+07
450409, -8.97219e+06, 1.64711e+07
359917, -9.12084e+06, 1.639e+07
268104, -9.23605e+06, 1.63269e+07
175309, -9.31739e+06, 1.6281e+07
81870.2, -9.36457e+06, 1.62532e+07
-11868.3, -9.37741e+06, 1.62442e+07
-105563, -9.35587e+06, 1.62563e+07
-198871, -9.30002e+06, 1.62901e+07
-291450, -9.21007e+06, 1.63419e+07
-382960, -9.08635e+06, 1.64107e+07
-473066, -8.92932e+06, 1.6495e+07
-561437, -8.73954e+06, 1.65961e+07
-647750, -8.51772e+06, 1.6713e+07
-731688, -8.26466e+06, 1.68396e+07
-812942, -7.9813e+06, 1.69735e+07
-891216, -7.66868e+06, 1.71185e+07
-966222, -7.32794e+06, 1.7268e+07
-1.03769e+06, -6.96032e+06, 1.74166e+07
-1.10534e+06, -6.56719e+06, 1.75712e+07
-1.16895e+06, -6.14998e+06, 1.77205e+07
-1.22827e+06, -5.71021e+06, 1.78678e+07
-1.28308e+06, -5.24951e+06, 1.80077e+07
-1.33319e+06, -4.76956e+06, 1.81419e+07
-1.37842e+06, -4.27212e+06, 1.82625e+07
-1.41858e+06, -3.75902e+06, 1.83779e+07
-1.45355e+06, -3.23213e+06, 1.84777e+07
-1.48319e+06, -2.69339e+06, 1.85618e+07
-1.50739e+06, -2.14478e+06, 1.86339e+07
-1.52606e+06, -1.5883e+06, 1.86907e+07
-1.53913e+06, -1.026e+06, 1.87304e+07
-1.54656e+06, -459935, 1.87529e+07
-1.54833e+06, 107815, 1.87583e+07
-1.54441e+06, 675170, 1.87464e+07
-1.53483e+06, 1.24005e+06, 1.87174e+07
-1.51962e+06, 1.80038e+06, 1.86712e+07
-1.49884e+06, 2.35411e+06, 1.86078e+07
-1.47257e+06, 2.89921e+06, 1.85317e+07
-1.4409e+06, 3.43368e+06, 1.84416e+07
-1.40394e+06, 3.95556e+06, 1.83359e+07
-1.36183e+06, 4.46293e+06, 1.82181e+07
-1.31473e+06, 4.95394e+06, 1.80926e+07
-1.26281e+06, 5.42679e+06, 1.79532e+07
-1.20626e+06, 5.87974e+06, 1.78133e+07
-1.14529e+06, 6.31112e+06, 1.76619e+07
-1.08012e+06, 6.71937e+06, 1.75137e+07
-1.01099e+06, 7.10298e+06, 1.73605e+07
-938146, 7.46054e+06, 1.72097e+07
-861866, 7.79075e+06, 1.70643e+07
-782426, 8.09239e+06, 1.69218e+07
-700117, 8.36436e+06, 1.67883e+07
-615241, 8.60566e+06, 1.66679e+07
-528109, 8.81541e+06, 1.6558e+07
-439041, 8.99283e+06, 1.64609e+07
-348363, 9.13728e+06, 1.63796e+07
-256407, 9.24822e+06, 1.63194e+07
-163511, 9.32525e+06, 1.62764e+07
-70016.1, 9.36809e+06, 1.62517e+07
23735.9, 9.37658e+06, 1.62457e+07
117401, 9.35069e+06, 1.62585e+07
210635, 9.29052e+06, 1.62947e+07
303098, 9.19627e+06, 1.63494e+07
394448, 9.06831e+06, 1.6421e+07
484353, 8.9071e+06, 1.65079e+07
572481, 8.71322e+06, 1.66087e+07
658511, 8.4874e+06, 1.67279e+07
742126, 8.23045e+06, 1.68566e+07
823019, 7.94333e+06, 1.69923e+07
900895, 7.62708e+06, 1.71363e+07
975468, 7.28287e+06, 1.72871e+07
1.04646e+06, 6.91195e+06, 1.74368e+07
1.11362e+06, 6.51569e+06, 1.75901e+07
1.1767e+06, 6.09553e+06, 1.77398e+07
1.23546e+06, 5.65303e+06, 1.78856e+07
1.28969e+06, 5.1898e+06, 1.80255e+07
1.33919e+06, 4.70753e+06, 1.81579e+07
1.38378e+06, 4.20801e+06, 1.8278e+07
1.4233e+06, 3.69306e+06, 1.83913e+07
1.4576e+06, 3.16456e+06, 1.84892e+07
1.48655e+06, 2.62447e+06, 1.85714e+07
1.51006e+06, 2.07474e+06, 1.8642e+07
1.52802e+06, 1.51742e+06, 1.86967e+07
1.54039e+06, 954523, 1.87342e+07
1.5471e+06, 388131, 1.87546e+07
1.54814e+06, -179685, 1.87577e+07
1.54351e+06, -746842, 1.87437e+07
1.53322e+06, -1.31126e+06, 1.87125e+07
1.5173e+06, -1.87087e+06, 1.86641e+07
1.49582e+06, -2.42362e+06, 1.85986e+07
1.46886e+06, -2.96748e+06, 1.85212e+07
1.43651e+06, -3.50047e+06, 1.84291e+07
1.39889e+06, -4.02061e+06, 1.83214e+07
1.35614e+06, -4.52602e+06, 1.8203e+07
1.30843e+06, -5.01483e+06, 1.80757e+07
1.25591e+06, -5.48525e+06, 1.7936e+07
1.19879e+06, -5.93556e+06, 1.77947e+07
1.13727e+06, -6.3641e+06, 1.76437e+07
1.07158e+06, -6.76931e+06, 1.74942e+07
1.00197e+06, -7.1497e+06, 1.73419e+07
928677, -7.50387e+06, 1.719e+07
851981, -7.83053e+06, 1.7046e+07
772162, -8.12848e+06, 1.69052e+07
689511, -8.39662e+06, 1.6771e+07
604332, -8.63397e+06, 1.66527e+07
516937, -8.83966e+06, 1.65452e+07
427647, -9.01295e+06, 1.64507e+07
336788, -9.15318e+06, 1.63711e+07
244695, -9.25985e+06, 1.63118e+07
151705, -9.33257e+06, 1.62718e+07
58157.9, -9.37107e+06, 1.62502e+07
-35602.2, -9.37521e+06, 1.62472e+07
-129232, -9.34497e+06, 1.62631e+07
-222387, -9.28047e+06, 1.62992e+07
-314727, -9.18193e+06, 1.63569e+07
-405914, -9.04973e+06, 1.64313e+07
-495611, -8.88435e+06, 1.65208e+07
-583492, -8.68639e+06, 1.66237e+07
-669233, -8.45658e+06, 1.67427e+07
-752520, -8.19576e+06, 1.68734e+07
-833048, -7.90489e+06, 1.70109e+07
-910522, -7.58504e+06, 1.7154e+07
