s(m), v_par(m/s), v_perp(m/s)
0, 419383, 419383
4193.83, 419382, 419397
8387.64, 419381, 419411
12581.4, 419378, 419425
16775.2, 419375, 419439
20968.9, 419370, 419453
25162.6, 419364, 419467
29356.2, 419358, 419481
33549.8, 419350, 419495
37743.2, 419341, 419509
41936.6, 419332, 419523
46129.8, 419321, 419537
50323, 419309, 419551
54516, 419296, 419565
58708.9, 419282, 419579
62901.7, 419268, 419593
67094.3, 419252, 419607
71286.7, 419235, 419621
75479, 419217, 419635
79671, 419198, 419649
83862.9, 419178, 419663
88054.6, 419157, 419677
92246, 419135, 419691
96437.3, 419112, 419705
100628, 419088, 419719
104819, 419062, 419733
109010, 419036, 419747
113200, 419009, 419761
117390, 418981, 419793
121579, 418952, 419835
125769, 418922, 419877
129958, 418890, 419919
134147, 418858, 419961
138335, 418825, 420003
142523, 418790, 420045
146711, 418755, 420087
150898, 418719, 420129
155085, 418681, 420171
159272, 418643, 420213
163458, 418603, 420255
167644, 418563, 420297
171829, 418521, 420338
176014, 418479, 420380
180199, 418435, 420422
184383, 418391, 420464
188567, 418345, 420506
192750, 418298, 420548
196933, 418251, 420590
201115, 418202, 420632
205297, 418152, 420673
209478, 418102, 420715
213659, 418050, 420757
217839, 417997, 420799
222019, 417943, 420841
226198, 417889, 420882
230376, 417833, 420930
234554, 417776, 421000
238732, 417718, 421070
242909, 417659, 421139
247085, 417599, 421209
251261, 417538, 421278
255436, 417476, 421348
259610, 417413, 421417
263784, 417349, 421487
267957, 417284, 421556
272130, 417218, 421625
276302, 417151, 421695
280473, 417083, 421764
284643, 417014, 421834
288813, 416944, 421903
292982, 416873, 421972
297151, 416801, 422041
301318, 416728, 422111
305485, 416653, 422180
309651, 416578, 422249
313817, 416502, 422318
317981, 416425, 422387
322145, 416347, 422457
326308, 416267, 422526
330470, 416187, 422595
334632, 416106, 422664
338793, 416023, 422733
342952, 415940, 422802
347111, 415856, 422890
351269, 415770, 422987
355427, 415684, 423083
359583, 415596, 423180
363739, 415508, 423276
367893, 415418, 423372
372047, 415328, 423469
376200, 415237, 423565
380352, 415144, 423661
384503, 415051, 423758
388653, 414956, 423854
392802, 414860, 423950
396950, 414764, 424046
401097, 414666, 424142
405243, 414568, 424238
409389, 414468, 424334
413533, 414368, 424430
417676, 414266, 424526
421818, 414163, 424621
425959, 414060, 424717
430099, 413955, 424813
434238, 413849, 424908
438376, 413743, 425004
442513, 413635, 425100
446649, 413526, 425195
450784, 413416, 425291
454917, 413306, 425386
459050, 413194, 425482
463181, 413081, 425605
467311, 412967, 425727
471440, 412853, 425850
475568, 412737, 425972
479695, 412620, 426094
483821, 412502, 426217
487945, 412384, 426339
492068, 412264, 426461
496190, 412143, 426583
500311, 412021, 426705
504431, 411898, 426827
508549, 411774, 426948
512666, 411650, 427070
516782, 411524, 427192
520897, 411397, 427313
525010, 411269, 427435
529122, 411140, 427556
533233, 411010, 427678
537342, 410879, 427799
541451, 410747, 427920
545557, 410614, 428041
549663, 410481, 428162
553767, 410346, 428283
557870, 410210, 428404
561971, 410073, 428525
566071, 409935, 428646
570170, 409796, 428767
574267, 409656, 428891
578363, 409515, 429039
582457, 409373, 429186
586550, 409230, 429333
590642, 409086, 429480
594732, 408941, 429627
598821, 408796, 429774
602908, 408649, 429920
606994, 408501, 430067
611078, 408352, 430213
615161, 408202, 430360
619242, 408051, 430506
623322, 407899, 430652
627400, 407746, 430798
631477, 407592, 430944
635552, 407437, 431090
639626, 407281, 431236
643698, 407124, 431382
647768, 406967, 431527
651837, 406808, 431673
655904, 406648, 431818
659970, 406487, 431963
664034, 406325, 432109
668096, 406162, 432254
672157, 405998, 432399
676216, 405833, 432543
680274, 405668, 432688
684330, 405501, 432833
688384, 405333, 432977
692436, 405164, 433148
696487, 404994, 433318
700536, 404823, 433489
704584, 404652, 433659
708629, 404479, 433829
712673, 404305, 433999
716715, 404130, 434169
720756, 403955, 434338
724794, 403778, 434508
728831, 403600, 434677
732866, 403421, 434847
736900, 403242, 435016
740931, 403061, 435185
744961, 402879, 435353
748989, 402697, 435522
753015, 402513, 435691
757039, 402329, 435859
761061, 402143, 436027
765082, 401956, 436195
769101, 401769, 436363
773117, 401580, 436531
777132, 401391, 436699
781145, 401200, 436866
785156, 401009, 437034
789165, 400816, 437201
793172, 400623, 437368
797178, 400428, 437535
801181, 400233, 437702
805182, 400036, 437882
809182, 399839, 438074
813179, 399641, 438266
817175, 399441, 438458
821168, 399241, 438649
825159, 399040, 438841
829149, 398838, 439032
833136, 398634, 439223
837121, 398430, 439414
841105, 398225, 439605
845086, 398019, 439795
849065, 397812, 439985
853042, 397604, 440176
857017, 397394, 440366
860990, 397184, 440555
864961, 396973, 440745
868930, 396761, 440934
872896, 396548, 441124
876860, 396335, 441313
880823, 396120, 441502
884783, 395904, 441690
888741, 395687, 441879
892697, 395469, 442067
896650, 395250, 442255
900602, 395031, 442443
904551, 394810, 442631
908498, 394588, 442818
912443, 394366, 443006
916385, 394142, 443193
920325, 393918, 443396
924263, 393692, 443608
928199, 393466, 443819
932133, 393238, 444030
936064, 393010, 444241
939993, 392780, 444452
943920, 392550, 444663
947844, 392319, 444873
951766, 392086, 445083
955686, 391853, 445293
959603, 391619, 445503
963518, 391384, 445713
967431, 391148, 445922
971341, 390911, 446131
975249, 390673, 446340
979154, 390434, 446548
983058, 390194, 446757
986958, 389953, 446965
990857, 389711, 447173
994753, 389469, 447381
998646, 389225, 447588
1.00254e+06, 388980, 447795
1.00643e+06, 388735, 448002
1.01031e+06, 388488, 448209
1.0142e+06, 388240, 448416
1.01808e+06, 387992, 448622
1.02196e+06, 387743, 448828
1.02583e+06, 387492, 449034
1.02971e+06, 387241, 449240
1.03358e+06, 386989, 449451
1.03744e+06, 386735, 449681
1.04131e+06, 386481, 449910
1.04517e+06, 386226, 450139
1.04904e+06, 385970, 450367
1.05289e+06, 385713, 450595
1.05675e+06, 385455, 450824
1.0606e+06, 385196, 451051
1.06445e+06, 384937, 451279
1.0683e+06, 384676, 451506
1.07215e+06, 384414, 451733
1.07599e+06, 384151, 451960
1.07983e+06, 383888, 452186
1.08367e+06, 383623, 452412
1.0875e+06, 383358, 452638
1.09133e+06, 383092, 452863
1.09516e+06, 382824, 453089
1.09899e+06, 382556, 453314
1.10282e+06, 382287, 453539
1.10664e+06, 382017, 453763
1.11046e+06, 381746, 453987
1.11427e+06, 381474, 454211
1.11809e+06, 381201, 454435
1.1219e+06, 380927, 454658
1.1257e+06, 380652, 454882
1.12951e+06, 380376, 455105
1.13331e+06, 380100, 455327
1.13711e+06, 379822, 455550
1.14091e+06, 379543, 455772
1.1447e+06, 379264, 455993
1.14849e+06, 378984, 456222
1.15228e+06, 378702, 456467
1.15607e+06, 378420, 456711
1.15985e+06, 378137, 456955
1.16363e+06, 377853, 457198
1.16741e+06, 377568, 457442
1.17118e+06, 377282, 457685
1.17495e+06, 376995, 457927
1.17872e+06, 376707, 458170
1.18249e+06, 376419, 458412
1.18625e+06, 376129, 458654
1.19001e+06, 375839, 458895
1.19377e+06, 375547, 459136
1.19752e+06, 375255, 459377
1.20127e+06, 374962, 459617
1.20502e+06, 374667, 459857
1.20876e+06, 374372, 460097
1.21251e+06, 374076, 460337
1.21625e+06, 373779, 460576
1.21998e+06, 373481, 460815
1.22372e+06, 373183, 461054
1.22745e+06, 372883, 461292
1.23117e+06, 372582, 461530
1.2349e+06, 372281, 461767
1.23862e+06, 371978, 462005
1.24234e+06, 371675, 462242
1.24605e+06, 371371, 462478
1.24976e+06, 371066, 462715
1.25347e+06, 370760, 462951
1.25718e+06, 370453, 463187
1.26088e+06, 370145, 463422
1.26458e+06, 369836, 463673
1.26828e+06, 369526, 463930
1.27197e+06, 369216, 464187
1.27566e+06, 368904, 464443
1.27935e+06, 368592, 464699
1.28304e+06, 368279, 464955
1.28672e+06, 367965, 465210
1.2904e+06, 367649, 465465
1.29407e+06, 367333, 465720
1.29774e+06, 367017, 465974
1.30141e+06, 366699, 466228
1.30508e+06, 366380, 466482
1.30874e+06, 366061, 466735
1.3124e+06, 365740, 466988
1.31605e+06, 365419, 467240
1.31971e+06, 365097, 467492
1.32335e+06, 364773, 467744
1.327e+06, 364449, 467995
1.33064e+06, 364124, 468247
1.33428e+06, 363799, 468497
1.33792e+06, 363472, 468748
1.34155e+06, 363144, 468998
1.34518e+06, 362816, 469247
1.34881e+06, 362486, 469496
1.35243e+06, 362156, 469745
1.35605e+06, 361825, 469994
1.35967e+06, 361493, 470242
1.36328e+06, 361160, 470490
1.36689e+06, 360826, 470737
1.3705e+06, 360492, 470985
1.3741e+06, 360156, 471231
1.3777e+06, 359820, 471483
1.3813e+06, 359482, 471751
1.38489e+06, 359144, 472018
1.38848e+06, 358805, 472284
1.39207e+06, 358465, 472551
1.39565e+06, 358124, 472816
1.39923e+06, 357783, 473082
1.40281e+06, 357440, 473347
