s(m), v_par(m/s), v_perp(m/s)
0, 1.53505e+06, 5.72888e+06
15349.3, 1.5347e+06, 5.72958e+06
30691.6, 1.53365e+06, 5.73028e+06
46019.9, 1.5319e+06, 5.73098e+06
61327.2, 1.52945e+06, 5.73168e+06
76606.6, 1.5263e+06, 5.73238e+06
91850.9, 1.52246e+06, 5.73307e+06
107053, 1.51792e+06, 5.73377e+06
122207, 1.51269e+06, 5.73514e+06
137305, 1.50677e+06, 5.73721e+06
152340, 1.50016e+06, 5.73926e+06
167306, 1.49287e+06, 5.74131e+06
182195, 1.48489e+06, 5.74335e+06
197001, 1.47624e+06, 5.74537e+06
211718, 1.46692e+06, 5.74738e+06
226338, 1.45692e+06, 5.74938e+06
240854, 1.44626e+06, 5.7524e+06
255261, 1.43494e+06, 5.75568e+06
269551, 1.42297e+06, 5.75892e+06
283718, 1.41035e+06, 5.76214e+06
297756, 1.39708e+06, 5.76533e+06
311657, 1.38318e+06, 5.76849e+06
325417, 1.36864e+06, 5.77161e+06
339028, 1.35348e+06, 5.77469e+06
352485, 1.33771e+06, 5.77849e+06
365780, 1.32132e+06, 5.78271e+06
378909, 1.30433e+06, 5.78686e+06
391865, 1.28674e+06, 5.79097e+06
404642, 1.26857e+06, 5.79501e+06
417234, 1.24982e+06, 5.79899e+06
429636, 1.2305e+06, 5.8029e+06
441842, 1.21062e+06, 5.80676e+06
453847, 1.19018e+06, 5.81054e+06
465644, 1.1692e+06, 5.81487e+06
477229, 1.14769e+06, 5.81956e+06
488596, 1.12566e+06, 5.82416e+06
499741, 1.10311e+06, 5.82866e+06
510657, 1.08005e+06, 5.83307e+06
521340, 1.05651e+06, 5.83739e+06
531785, 1.03248e+06, 5.8416e+06
541988, 1.00798e+06, 5.84571e+06
551943, 983025, 5.84972e+06
561647, 957619, 5.85363e+06
571094, 931775, 5.85743e+06
580281, 905506, 5.86172e+06
589203, 878824, 5.8661e+06
597856, 851741, 5.87034e+06
606237, 824270, 5.87445e+06
614340, 796422, 5.87842e+06
622164, 768211, 5.88225e+06
629704, 739650, 5.88594e+06
636956, 710751, 5.88949e+06
643917, 681528, 5.89289e+06
650585, 651993, 5.89615e+06
656956, 622162, 5.89926e+06
663028, 592046, 5.90222e+06
