s(m), v_par(m/s), v_perp(m/s)
0, 1.32621e+07, 1.32621e+07
132566, 1.32458e+07, 1.32798e+07
264809, 1.31972e+07, 1.33291e+07
396404, 1.31164e+07, 1.34091e+07
527030, 1.30035e+07, 1.35186e+07
656367, 1.28588e+07, 1.36558e+07
784100, 1.26826e+07, 1.38188e+07
909916, 1.24755e+07, 1.40053e+07
1.03351e+06, 1.22378e+07, 1.42128e+07
1.15457e+06, 1.19702e+07, 1.44394e+07
1.27281e+06, 1.16734e+07, 1.46807e+07
1.38794e+06, 1.1348e+07, 1.49337e+07
1.49968e+06, 1.09949e+07, 1.51953e+07
1.60775e+06, 1.06149e+07, 1.54626e+07
1.71189e+06, 1.0209e+07, 1.57342e+07
1.81185e+06, 9.77805e+06, 1.60065e+07
1.90738e+06, 9.32324e+06, 1.62763e+07
1.99824e+06, 8.84564e+06, 1.65408e+07
2.08422e+06, 8.34641e+06, 1.67972e+07
2.1651e+06, 7.82678e+06, 1.70453e+07
2.24069e+06, 7.28802e+06, 1.72838e+07
2.3108e+06, 6.73143e+06, 1.75069e+07
2.37526e+06, 6.15839e+06, 1.77174e+07
2.43392e+06, 5.5703e+06, 1.79106e+07
2.48662e+06, 4.96858e+06, 1.80872e+07
2.53325e+06, 4.35472e+06, 1.82435e+07
2.57368e+06, 3.73022e+06, 1.83828e+07
2.60782e+06, 3.09659e+06, 1.84997e+07
2.63559e+06, 2.4554e+06, 1.85942e+07
2.65691e+06, 1.8082e+06, 1.86692e+07
2.67174e+06, 1.15658e+06, 1.87214e+07
2.68003e+06, 502131, 1.87506e+07
2.68178e+06, -153543, 1.87568e+07
2.67696e+06, -808842, 1.87398e+07
2.6656e+06, -1.46216e+06, 1.86998e+07
2.64773e+06, -2.11191e+06, 1.86367e+07
2.62338e+06, -2.75649e+06, 1.85527e+07
2.59262e+06, -3.39434e+06, 1.84478e+07
2.55552e+06, -4.02389e+06, 1.83204e+07
2.51218e+06, -4.6436e+06, 1.81723e+07
2.46269e+06, -5.25195e+06, 1.80073e+07
2.40718e+06, -5.84747e+06, 1.78207e+07
2.34579e+06, -6.42869e+06, 1.76214e+07
2.27866e+06, -6.9942e+06, 1.74036e+07
2.20596e+06, -7.54261e+06, 1.71735e+07
2.12787e+06, -8.07257e+06, 1.69315e+07
2.04458e+06, -8.58281e+06, 1.66777e+07
1.95628e+06, -9.07205e+06, 1.64158e+07
1.86321e+06, -9.53913e+06, 1.61502e+07
1.76558e+06, -9.98288e+06, 1.58803e+07
