s(m), v_par(m/s), v_perp(m/s)
0, 296548, 513637
2965.48, 296548, 513649
5930.96, 296546, 513661
8896.41, 296544, 513673
11861.8, 296540, 513686
14827.2, 296535, 513698
17792.5, 296529, 513710
20757.8, 296522, 513722
23723, 296514, 513734
26688, 296504, 513746
29653, 296494, 513759
32617.9, 296483, 513771
35582.7, 296470, 513783
38547.3, 296457, 513795
41511.8, 296442, 513807
44476.2, 296426, 513819
47440.3, 296409, 513831
50404.3, 296391, 513843
53368.2, 296372, 513856
56331.8, 296352, 513868
59295.2, 296331, 513880
62258.4, 296309, 513892
65221.4, 296285, 513904
68184.1, 296261, 513916
71146.6, 296235, 513928
74108.8, 296209, 513941
77070.8, 296181, 513953
80032.4, 296152, 513965
82993.8, 296122, 513977
85954.9, 296091, 513989
88915.6, 296059, 514001
91876, 296026, 514013
94836.1, 295992, 514025
97795.9, 295956, 514038
100755, 295920, 514050
103714, 295883, 514062
106673, 295844, 514074
109631, 295804, 514086
112589, 295764, 514098
115546, 295722, 514117
118503, 295679, 514153
121460, 295635, 514189
124416, 295590, 514226
127372, 295543, 514262
130327, 295496, 514298
133282, 295448, 514335
136236, 295398, 514371
139190, 295348, 514407
142143, 295296, 514443
145096, 295244, 514480
148048, 295190, 514516
150999, 295135, 514552
153950, 295079, 514588
156901, 295022, 514624
159851, 294964, 514661
162800, 294905, 514697
165749, 294845, 514733
168697, 294783, 514769
171645, 294721, 514805
174592, 294657, 514841
177538, 294593, 514877
180483, 294527, 514914
183428, 294460, 514950
186373, 294393, 514986
189316, 294324, 515022
192259, 294254, 515058
195201, 294183, 515094
198143, 294111, 515130
201083, 294037, 515166
204023, 293963, 515202
206963, 293888, 515238
209901, 293811, 515274
212839, 293734, 515310
215776, 293655, 515346
218712, 293575, 515382
221647, 293495, 515418
224582, 293413, 515454
227516, 293330, 515490
230449, 293246, 515534
233381, 293161, 515594
236312, 293075, 515653
239242, 292987, 515713
242171, 292899, 515773
245100, 292810, 515833
248028, 292719, 515892
250954, 292628, 515952
253880, 292535, 516012
256805, 292442, 516071
259729, 292347, 516131
262652, 292251, 516190
265574, 292154, 516250
268495, 292056, 516310
271415, 291957, 516369
274334, 291857, 516428
277252, 291756, 516488
280169, 291654, 516547
283085, 291551, 516607
286000, 291446, 516666
288914, 291341, 516725
291827, 291234, 516785
294739, 291127, 516844
297650, 291018, 516903
300559, 290908, 516962
303468, 290798, 517022
306375, 290686, 517081
309282, 290573, 517140
312187, 290459, 517199
315091, 290344, 517258
317994, 290228, 517317
320895, 290110, 517376
323796, 289992, 517435
326695, 289873, 517494
329593, 289753, 517553
332490, 289631, 517612
335386, 289509, 517671
338280, 289385, 517730
341174, 289261, 517788
344066, 289135, 517847
346956, 289008, 517928
349846, 288880, 518010
352734, 288752, 518093
355621, 288622, 518175
358506, 288491, 518257
361391, 288359, 518339
364274, 288226, 518420
367155, 288091, 518502
370035, 287956, 518584
372914, 287820, 518666
375792, 287683, 518748
378668, 287544, 518829
381543, 287405, 518911
384416, 287264, 518992
387288, 287123, 519074
390158, 286980, 519155
393027, 286837, 519237
395895, 286692, 519318
398761, 286546, 519399
401626, 286399, 519481
404489, 286252, 519562
407351, 286103, 519643
410211, 285953, 519724
413070, 285802, 519805
415927, 285650, 519886
418783, 285497, 519967
421637, 285343, 520048
424490, 285187, 520128
427341, 285031, 520209
430191, 284874, 520290
433039, 284716, 520370
435885, 284556, 520451
438730, 284396, 520531
441573, 284234, 520612
444414, 284072, 520692
447254, 283908, 520773
450093, 283744, 520853
452929, 283578, 520933
455764, 283412, 521013
458597, 283244, 521093
461429, 283075, 521194
464259, 282905, 521296
467087, 282735, 521399
469914, 282563, 521502
472738, 282390, 521604
475561, 282216, 521707
478383, 282041, 521809
481202, 281865, 521912
484020, 281688, 522014
486836, 281510, 522116
489650, 281331, 522218
492463, 281151, 522320
495273, 280970, 522422
498082, 280788, 522524
500889, 280604, 522625
503694, 280420, 522727
506497, 280235, 522829
509299, 280049, 522930
512098, 279861, 523031
514896, 279673, 523133
517692, 279484, 523234
520486, 279293, 523335
523278, 279102, 523436
526068, 278909, 523537
528856, 278716, 523638
531642, 278521, 523738
534426, 278326, 523839
537208, 278129, 523940
539989, 277932, 524040
542767, 277733, 524141
545543, 277534, 524241
548318, 277333, 524341
551090, 277131, 524441
553860, 276929, 524541
556629, 276725, 524641
559395, 276520, 524741
562159, 276315, 524841
564921, 276108, 524940
567681, 275900, 525040
570439, 275692, 525139
573195, 275482, 525239
575949, 275271, 525356
578700, 275059, 525478
581450, 274847, 525599
584197, 274633, 525720
586943, 274418, 525840
589686, 274202, 525961
592427, 273985, 526082
595165, 273768, 526202
597902, 273549, 526323
600636, 273329, 526443
603369, 273108, 526563
606099, 272886, 526683
608826, 272664, 526803
611552, 272440, 526923
614275, 272215, 527042
616996, 271989, 527162
619715, 271762, 527281
622431, 271535, 527400
625146, 271306, 527519
627858, 271076, 527638
630567, 270845, 527757
633274, 270613, 527876
635979, 270381, 527994
638682, 270147, 528113
641382, 269912, 528231
644080, 269676, 528349
646776, 269440, 528467
649469, 269202, 528585
652160, 268963, 528703
654848, 268724, 528821
657534, 268483, 528938
660218, 268241, 529056
662899, 267999, 529173
665578, 267755, 529290
668254, 267510, 529407
670928, 267265, 529524
673600, 267018, 529641
676269, 266771, 529758
678935, 266522, 529874
681599, 266273, 529990
684260, 266022, 530107
686919, 265771, 530223
689576, 265518, 530348
692230, 265265, 530485
694881, 265010, 530622
697530, 264755, 530758
700176, 264499, 530895
702820, 264241, 531031
705461, 263983, 531167
708100, 263724, 531303
710736, 263464, 531438
713369, 263203, 531574
716000, 262940, 531709
718628, 262677, 531844
721253, 262413, 531979
723876, 262148, 532114
726496, 261882, 532249
729114, 261615, 532383
731728, 261347, 532518
734341, 261079, 532652
736950, 260809, 532786
739557, 260538, 532920
742161, 260266, 533053
744762, 259993, 533187
747361, 259720, 533320
749956, 259445, 533453
752549, 259170, 533586
755140, 258893, 533719
757727, 258616, 533851
760312, 258337, 533984
762894, 258058, 534116
765473, 257778, 534248
768050, 257496, 534380
770623, 257214, 534512
773194, 256931, 534643
775762, 256647, 534775
778327, 256362, 534906
780889, 256076, 535037
783448, 255789, 535168
786005, 255501, 535298
788558, 255213, 535429
791109, 254923, 535559
793657, 254632, 535689
796202, 254341, 535819
798744, 254048, 535949
801283, 253755, 536078
803819, 253461, 536213
806352, 253165, 536362
808882, 252869, 536511
811409, 252572, 536660
813933, 252274, 536808
816455, 251975, 536957
818973, 251675, 537105
821488, 251374, 537252
824000, 251072, 537400
826510, 250770, 537547
829016, 250466, 537694
831519, 250161, 537841
834019, 249856, 537988
836516, 249550, 538134
839010, 249242, 538281
841501, 248934, 538427
843989, 248625, 538573
846473, 248315, 538718
848955, 248004, 538863
851434, 247692, 539009
853909, 247379, 539154
856381, 247066, 539298
858850, 246751, 539443
861316, 246436, 539587
863779, 246119, 539731
866239, 245802, 539875
868695, 245484, 540018
871148, 245165, 540162
873598, 244845, 540305
876045, 244524, 540448
878489, 244202, 540590
880929, 243880, 540733
883366, 243556, 540875
885800, 243232, 541017
888231, 242906, 541159
890658, 242580, 541301
893083, 242253, 541442
895503, 241925, 541583
897921, 241596, 541724
900335, 241266, 541864
902746, 240936, 542005
905154, 240604, 542145
907558, 240272, 542285
909959, 239938, 542425
912357, 239604, 542564
914752, 239269, 542703
917143, 238933, 542843
919530, 238596, 542994
921914, 238259, 543151
924295, 237920, 543308
926673, 237580, 543465
929047, 237240, 543621
931418, 236899, 543777
933785, 236557, 543933
936149, 236214, 544088
938509, 235870, 544243
940866, 235526, 544398
943220, 235180, 544553
945570, 234834, 544707
947916, 234486, 544861
950260, 234138, 545015
952599, 233789, 545168
954935, 233439, 545322
957268, 233089, 545475
959597, 232737, 545627
961923, 232385, 545780
964245, 232032, 545932
966563, 231677, 546084
