s(m), v_par(m/s), v_perp(m/s)
0, 153505, 572888
1535.05, 153504, 572895
3070.09, 153503, 572902
4605.11, 153502, 572909
6140.12, 153499, 572916
7675.09, 153496, 572923
9210.04, 153492, 572930
10744.9, 153488, 572937
12279.8, 153482, 572944
13814.6, 153476, 572951
15349.3, 153470, 572958
16884, 153462, 572965
18418.6, 153454, 572972
19953.1, 153446, 572979
21487.5, 153436, 572986
23021.8, 153426, 572993
24556, 153415, 573000
26090.1, 153404, 573007
27624.1, 153391, 573014
29157.9, 153378, 573021
30691.6, 153365, 573028
32225.2, 153350, 573035
33758.6, 153335, 573042
35291.9, 153320, 573049
36825, 153303, 573056
38358, 153286, 573063
39890.7, 153268, 573070
41423.3, 153250, 573077
42955.7, 153230, 573084
44487.9, 153210, 573091
46019.9, 153190, 573098
47551.7, 153168, 573105
49083.3, 153146, 573112
50614.6, 153124, 573119
52145.8, 153100, 573126
53676.6, 153076, 573133
55207.3, 153051, 573140
56737.7, 153026, 573147
58267.8, 152999, 573154
59797.6, 152972, 573161
61327.2, 152945, 573168
62856.5, 152916, 573175
64385.6, 152887, 573182
65914.3, 152858, 573189
67442.7, 152827, 573196
68970.8, 152796, 573203
70498.6, 152764, 573210
72026.1, 152732, 573217
73553.3, 152699, 573224
75080.1, 152665, 573231
76606.6, 152630, 573238
78132.7, 152595, 573245
79658.5, 152559, 573252
81183.9, 152522, 573259
82708.9, 152485, 573265
84233.6, 152447, 573272
85757.8, 152408, 573279
87281.7, 152368, 573286
88805.2, 152328, 573293
90328.3, 152287, 573300
91850.9, 152246, 573307
93373.2, 152204, 573314
94895, 152161, 573321
96416.4, 152117, 573328
97937.3, 152073, 573335
99457.8, 152028, 573342
100978, 151982, 573349
102497, 151935, 573356
104017, 151888, 573363
105535, 151840, 573370
107053, 151792, 573377
108571, 151743, 573384
110088, 151693, 573390
111605, 151642, 573397
113121, 151591, 573404
114637, 151539, 573411
116152, 151486, 573431
117666, 151433, 573452
119181, 151379, 573473
120694, 151324, 573493
122207, 151269, 573514
123719, 151213, 573535
125231, 151156, 573555
126743, 151099, 573576
128253, 151040, 573597
129763, 150981, 573617
131273, 150922, 573638
132782, 150862, 573659
134290, 150801, 573679
135798, 150739, 573700
137305, 150677, 573721
138811, 150614, 573741
140317, 150550, 573762
141822, 150486, 573783
143327, 150421, 573803
144831, 150355, 573824
146334, 150289, 573844
147837, 150221, 573865
149338, 150154, 573885
150840, 150085, 573906
152340, 150016, 573926
153840, 149946, 573947
155339, 149876, 573967
156837, 149804, 573988
158335, 149732, 574008
159832, 149660, 574029
161328, 149587, 574049
162824, 149513, 574070
164319, 149438, 574090
165813, 149363, 574111
167306, 149287, 574131
168798, 149210, 574152
170290, 149133, 574172
171781, 149055, 574192
173271, 148976, 574213
174760, 148897, 574233
176249, 148816, 574253
177737, 148736, 574274
179224, 148654, 574294
180710, 148572, 574314
182195, 148489, 574335
183680, 148406, 574355
185163, 148322, 574375
186646, 148237, 574396
188128, 148151, 574416
189609, 148065, 574436
191089, 147978, 574456
192569, 147891, 574477
194047, 147803, 574497
195525, 147714, 574517
197001, 147624, 574537
198477, 147534, 574557
199952, 147443, 574578
201426, 147351, 574598
202899, 147259, 574618
204371, 147166, 574638
205842, 147073, 574658
207313, 146978, 574678
208782, 146884, 574698
210250, 146788, 574718
211718, 146692, 574738
213184, 146595, 574758
214650, 146497, 574778
216114, 146399, 574798
217578, 146300, 574818
219040, 146200, 574838
220502, 146100, 574858
221962, 145999, 574878
223422, 145897, 574898
224880, 145795, 574918
226338, 145692, 574938
227794, 145589, 574958
229249, 145484, 574978
230704, 145379, 575009
232157, 145274, 575042
233609, 145168, 575075
235060, 145061, 575108
236510, 144953, 575141
237959, 144845, 575174
239407, 144736, 575207
240854, 144626, 575240
242300, 144516, 575273
243744, 144405, 575306
245188, 144294, 575339
246630, 144181, 575371
248071, 144069, 575404
249512, 143955, 575437
250951, 143841, 575470
252388, 143726, 575502
253825, 143611, 575535
255261, 143494, 575568
256695, 143378, 575600
258128, 143260, 575633
259560, 143142, 575665
260991, 143023, 575698
262421, 142904, 575730
263849, 142784, 575763
265276, 142663, 575795
266702, 142542, 575828
268127, 142420, 575860
269551, 142297, 575892
270973, 142174, 575925
272394, 142050, 575957
273814, 141925, 575989
275233, 141800, 576022
276650, 141674, 576054
278066, 141547, 576086
279481, 141420, 576118
280895, 141292, 576150
282307, 141164, 576182
